dataset,method,experiment,seed,expr_id,complexity,loss,expression
UCI_HydraulicSys_fault_score,lgo,base,5,67,41,0.0113944390809463,"add(div(id(SE_mean), pow(div(log(mul(mul(0.0032248610531535682, pow(log(-1.387851692367908), id(CE_mean))), add(log(add(sqrt(one), id(EPS1_q75))), -2.587900159489327))), sqrt(sub(sqrt(pow(0.39689030234744993, id(CE_mean))), log(log(add(0.39689030234744993, id(CE_mean))))))), pow(0.39689030234744993, id(CE_mean)))), 0.43174384989639947)"
UCI_HydraulicSys_fault_score,lgo,base,89,91,54,0.0079467025634624,"mul(0.13658642553325887, sub(sub(pow(mul(-1.2590568145952719, -1.0273633726001326), id(idF(idF(FS2_std)))), log(mul(sub(pow(add(sub(one, zero), log(id(FS1_std))), -0.03255036821520683), 0.39689030234744993), mul(sub(pow(add(one, 0.13658642553325887), id(PS2_max_diff)), log(mul(-1.2590568145952719, one))), id(CE_mean))))), sub(sub(sqrt(mul(-0.03255036821520683, div(log(id(FS1_std)), pow(log(-1.2590568145952719), 1.7224112229532873)))), one), one)))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,5,163,35,0.019925399042577,"lgo_thre(id(PS1_std), as_pos(sub(pow(log(pow(sqrt(sub(sub(1.3493704114055127, lgo_thre(1.9259106409302837, 8.200513812699704, 0.8052324320158581)), log(zero))), log(sqrt(zero)))), log(zero)), add(-0.0019292354856146367, pow(log(-2.3695866850884157), sub(sub(id(VS1_max), -2.349315733209354), 0.601603134833787))))), 1.0845899375396268)"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,3,142,39,0.0197211566475434,"lgo_thre(id(PS1_std), as_pos(sub(mul(zero, zero), lgo_thre(0.509931497321175, 2.7090855417237703, 0.05212836232447967))), as_thr(sqrt(add(lgo_thre(div(add(sub(one, zero), one), sqrt(sub(add(one, sqrt(2.408126523384968)), pow(div(one, 0.5337855728063893), lgo_thre(0.1713257883500038, 2.7090855417237703, -0.5717279041170082))))), 0.2596751330375365, -1.2944211400725454), 0.4435922606630257))))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,89,192,50,0.0077666363743612,"lgo_thre(sub(mul(mul(0.09547816199425305, sub(id(idF(idF(PS3_max))), sub(id(CP_mean), pow(id(idF(PS3_skew)), mul(sub(one, -1.345641613069749), 0.09547816199425305))))), log(id(PS3_mean))), sqrt(id(PS3_mean))), as_pos(1.1410574597497083), as_thr(pow(id(idF(PS3_skew)), mul(sub(one, sqrt(lgo_thre(id(CP_mean), as_pos(log(one)), as_thr(div(-0.2527355565202979, zero))))), 0.09547816199425305))))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,55,177,58,0.0035113321432918,"lgo_thre(sub(sub(sub(id(PS1_std), add(add(id(idF(idF(idF(PS3_std)))), id(idF(idF(SE_mean)))), id(idF(SE_mean)))), add(add(add(id(idF(PS3_std)), sqrt(id(idF(PS3_kurt)))), sqrt(id(idF(PS3_skew)))), id(idF(PS3_std)))), add(add(id(idF(idF(idF(SE_mean)))), sqrt(id(idF(idF(idF(SE_mean)))))), id(idF(PS3_kurt)))), 0.28384298989943185, as_thr(div(0.29286184509108426, one)))"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,8,288,47,0.0169249466569241,"lgo_or2(mul(1.0078213611943383, add(-0.4712544200844513, one)), lgo_or2(lgo(-0.13939252123485738, as_pos(one), 0.02315092762917792), mul(id(idF(idF(PS3_mean))), lgo_or2(lgo(-0.13939252123485738, as_pos(gate_expr(div(lgo(log(zero), 0.18958005781615983, 1.462280423019818), one), as_pos(one), -2.865523123059873)), -2.628295647484636), lgo(-0.13939252123485738, as_pos(one), 0.030527925981616525), 0.6360967555228892, -2.8186123480638927)), as_pos(log(zero)), as_thr(0.08340176113295882)), 0.43254519460586416, -0.3633625353876976)"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,34,251,76,0.0114727048412639,"lgo(sub(add(gate_expr(add(zero, one), as_pos(zero), -0.08899008324170846), sub(lgo_and3(one, one, id(idF(idF(EPS1_mean))), 0.1313484965783527, 1.957316100110589), sqrt(lgo_and2(id(idF(idF(PS3_std))), mul(sqrt(id(PS3_mean)), lgo_and3(pow(-0.3853908786007243, -0.3539939992693238), one, log(add(-0.43432883189628896, zero)), as_pos(-0.9569614757066468), -2.536691341317897)), as_pos(zero), -0.6700692560714083)))), div(mul(lgo(sqrt(sqrt(div(0.01681795970483093, zero))), 1.0857868054325897, 0.5264149035497898), log(one)), pow(1.1497487780790792, id(PS3_mean)))), as_pos(zero), as_thr(add(div(one, log(zero)), lgo(sub(-1.2792697688422159, 0.30996747074520437), as_pos(zero), -0.1307316657595029))))"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,3,247,82,0.0069089397257631,"add(lgo_and2(log(id(SE_std)), lgo(one, 0.5037941866732236, as_thr(div(lgo(zero, as_pos(add(-0.4701589726313108, -0.38236755274226736)), 0.8959745271394448), lgo(one, 0.31073691300226264, 0.48867641409415974)))), 0.28128803291335785, as_thr(add(zero, one))), lgo_or2(sub(-0.7149640491245774, -1.3286993046897442), lgo(sub(lgo(lgo_and2(gate_expr(one, as_pos(id(CE_mean)), -0.5911621996637407), id(FS1_std), as_pos(one), as_thr(one)), as_pos(one), as_thr(log(zero))), gate_expr(id(idF(PS3_std)), as_pos(-0.4131621536111271), as_thr(one))), as_pos(gate_expr(lgo(one, 0.3666561458454554, -0.8722636131594604), as_pos(div(sub(zero, 0.03647392925080863), add(1.2810716288534834, 0.38776806256385676))), as_thr(id(idF(FS1_std))))), as_thr(id(PS6_std))), 0.28180820916476457, -0.5303960800578469))"
UCI_HydraulicSys_fault_score,operon,base,2,602,24,0.0047273663121134,(0.118259 + (0.002160 * (((1.772454 + (0.318310 + ((-0.738564) * PS3_std))) / (2.302585 / (2.302585 * SE_mean))) * ((((0.323311 + ((-0.738564) * PS3_std)) + ((0.323311 / (0.646457 * SE_mean)) * 1.801021)) / ((0.323311 / (0.646457 * SE_mean)) * 2.144673)) + ((6.283185 * PS3_mean) + (2.458098 * FS1_std))))))
UCI_HydraulicSys_fault_score,operon,base,34,605,25,0.0036195556679969,(2.479234 + (0.505006 * (((((-0.738564) * SE_std) + (-0.489413)) * ((((0.611949 * ((-0.237984) * PS3_mean)) * ((-0.237984) * PS3_mean)) * 2.144673) + (((-0.101358) * ((-0.621934) + ((-0.738564) * PS3_std))) * 0.323311))) + ((((-0.101358) * (((-0.738564) * SE_std) + ((-0.237984) * PS3_mean))) + ((-0.738564) * PS3_std)) + ((-0.738564) * PS3_skew)))))
UCI_HydraulicSys_fault_score,pysr,base,1,649,1,0.0103561579603019,0.392317270000000
UCI_HydraulicSys_fault_score,pysr,base,34,698,2,0.0035839375776845,VS1_mean*VS1_mean
