phase,duration_s,method,seed,split
fit,11.34765887260437,lgo,1,0
fit,33.95465326309204,lgo,1,0
fit,19.174640655517578,lgo,1,0
fit,13.838608980178833,pysr,1,0
fit,0.5029337406158447,operon,1,0
fit,13.108791589736938,lgo,2,0
fit,23.998565673828125,lgo,2,0
fit,13.188228130340576,lgo,2,0
fit,5.434743881225586,pysr,2,0
fit,0.4067387580871582,operon,2,0
fit,10.271377325057983,lgo,3,0
fit,23.202973127365112,lgo,3,0
fit,13.037648677825928,lgo,3,0
fit,5.254127740859985,pysr,3,0
fit,0.4073348045349121,operon,3,0
fit,14.235934495925903,lgo,5,0
fit,23.235901594161987,lgo,5,0
fit,11.960740804672241,lgo,5,0
fit,5.8342673778533936,pysr,5,0
fit,0.4418938159942627,operon,5,0
fit,15.830140113830566,lgo,8,0
fit,21.433545112609863,lgo,8,0
fit,22.011918306350708,lgo,8,0
fit,5.709664344787598,pysr,8,0
fit,0.46926164627075195,operon,8,0
fit,17.291244745254517,lgo,13,0
fit,37.96322417259216,lgo,13,0
fit,15.203728437423706,lgo,13,0
fit,5.618467330932617,pysr,13,0
fit,0.48467016220092773,operon,13,0
fit,16.972310066223145,lgo,21,0
fit,32.82043719291687,lgo,21,0
fit,17.03134250640869,lgo,21,0
fit,5.233060359954834,pysr,21,0
fit,0.49786925315856934,operon,21,0
fit,18.557054042816162,lgo,34,0
fit,31.324851989746094,lgo,34,0
fit,19.732133388519287,lgo,34,0
fit,5.95846700668335,pysr,34,0
fit,0.4982447624206543,operon,34,0
fit,17.65245532989502,lgo,55,0
fit,27.064313650131226,lgo,55,0
fit,10.275817632675171,lgo,55,0
fit,5.116436004638672,pysr,55,0
fit,0.41017889976501465,operon,55,0
fit,15.265507221221924,lgo,89,0
fit,31.161438941955566,lgo,89,0
fit,16.24490237236023,lgo,89,0
fit,5.475297689437866,pysr,89,0
fit,0.5027918815612793,operon,89,0
fit,181.49520826339722,pstree,1,0
fit,169.43200373649597,pstree,2,0
fit,166.56825852394104,pstree,3,0
fit,173.84960794448853,pstree,5,0
fit,159.88513469696045,pstree,8,0
fit,167.45962238311768,pstree,13,0
fit,157.27879905700684,pstree,21,0
fit,159.73185634613037,pstree,34,0
fit,169.80357909202576,pstree,55,0
fit,170.13032817840576,pstree,89,0
fit,26.924691438674927,rils_rols,1,0
fit,26.094486951828003,rils_rols,2,0
fit,20.154576063156128,rils_rols,3,0
fit,26.41154456138611,rils_rols,5,0
fit,27.304515838623047,rils_rols,8,0
fit,25.91429591178894,rils_rols,13,0
fit,25.15233278274536,rils_rols,21,0
fit,20.858365058898926,rils_rols,34,0
fit,26.93640923500061,rils_rols,55,0
fit,19.80766224861145,rils_rols,89,0
