dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.02498221662259363,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,metrics_guard_RMSE_ge_MAE,OK,0.04422041519549666,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,metrics_guard_RMSE_ge_MAE,OK,0.030178042377655187,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.01928918879082643,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.012936936899993819,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.021554630023047514,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,metrics_guard_RMSE_ge_MAE,OK,0.029096364189481125,>= 0,
