dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_HydraulicSys_fault_score,lgo,base,1,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, id(PS1_mean)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(-0.03255036821520683))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",29.5,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,2,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(-0.03255036821520683))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",29.5,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,3,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, id(EPS1_q75)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",29.5,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,4,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(mul(0.4204046438076743, one))))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",30.5,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,5,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, mul(0.4204046438076743, one)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",30.5,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,6,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, sqrt(0.6557207976785749)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",31.0,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,7,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, sqrt(0.4204046438076743)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",31.0,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,8,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(-0.03255036821520683))))))), -1.8964040531542925), mul(0.4204046438076743, pow(one, one))))",31.5,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,9,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, pow(one, id(idF(idF(idF(PS3_std))))))))",31.5,0.0126410089086543,1
UCI_HydraulicSys_fault_score,lgo,base,10,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, pow(one, id(idF(PS3_std))))))",31.5,0.0126410089086543,1
