dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
ICU_composite_risk_score,lgo,base,1,"sqrt(sub(sub(log(div(log(log(id(lactate_mmol_l))), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",41.5,0.6420073692883785,0.5947428278114455,0.8112530526325414,0.8266766317099967
ICU_composite_risk_score,lgo,lgo_soft,1,"lgo_or2(sqrt(lgo_or2(lgo_or2(lgo_or2(add(lgo_or2(1.645653283727132, 1.9920376309410859, 0.6788768342429295, -0.023275063734320756), id(lactate_mmol_l)), sqrt(gate_expr(id(vasopressor_use_std), 7.659085497064977, -2.142858073541693)), 0.3833683129065733, as_thr(lgo(one, 0.3517966029249342, 2.0788404810031618))), id(idF(idF(vasopressor_use_std))), as_pos(mul(lgo_or2(-0.5030821259038132, 1.9920376309410859, 8.124270408811796, 0.08635101272520898), sub(lgo(add(add(one, 0.8047384614447712), one), 0.29381249044898106, 0.14643502479310733), lgo(0.17681754401059344, 4.968428782921132, 0.9726671819689191)))), 2.5627061624367244), id(idF(vasopressor_use_std)), as_pos(mul(lgo_and2(add(div(zero, 0.9175961322894994), mul(one, 0.0834349476492205)), sub(lgo(one, 0.26108268258583694, -0.23161109615891948), lgo(0.17681754401059344, 0.34214632719525145, 2.2180364604620184)), 0.3291638139311427, -1.509047578567045), sub(lgo(one, as_pos(gate_expr(one, 3.9764279139609378, 0.5047052770537358)), -0.6869845831360717), lgo(0.17681754401059344, 0.39306648409195916, 0.8392034337133437)))), -0.18838088729901412)), log(add(add(div(log(zero), gate_expr(one, 0.34214632719525145, -0.6898670430352745)), lgo_and3(zero, mul(sub(lgo(-0.9582873483953771, 0.3517966029249342, 0.9733962155548195), lgo_and2(-0.4740369428124864, zero, 0.7365786211673501, -0.5784127559254282)), gate_expr(-1.034099566852117, 0.3613664459166709, -0.028981508867138617)), id(gender_std), as_pos(zero), -1.1578060158362407)), add(add(lgo_or2(id(sbp_min), sub(zero, one), as_pos(0.8285896029821419), as_thr(zero)), lgo_and2(pow(zero, zero), lgo_and3(0.06778974283962103, -0.564104596571532, zero, 0.4013880362840389, -0.7684128106168706), as_pos(zero), as_thr(one))), lgo_and3(lgo_or2(gate_expr(zero, 5.396014442685959, -0.04709099519005564), lgo_or2(0.9535990265308562, zero, 0.255632413990004, 0.30790465926848964), as_pos(zero), as_thr(one)), lgo(lgo_and2(zero, -0.9543899973602873, 5.074915324695205, 0.8136727699981747), as_pos(zero), as_thr(-1.6296955001821043)), sub(add(one, -0.3611871763430029), pow(zero, zero)), as_pos(gate_expr(zero, 0.3582351921913856, -0.9397883803055953)), as_thr(log(one)))))), as_pos(lgo_and3(zero, lgo_and3(id(vasopressor_use_std), mul(zero, zero), pow(zero, one), 6.543240432758333, as_thr(lgo(one, 0.3129971730508746, -0.5784127559254282))), id(idF(idF(vasopressor_use_std))), 0.852975002629482, as_thr(zero))), as_thr(sub(sqrt(gate_expr(id(idF(idF(vasopressor_use_std))), 4.808321194245432, -2.142858073541693)), sqrt(lgo(zero, 3.9764279139609378, -0.8871229000456532)))))",153.5,1.0600791811816073,1.0559241333917657,0.6827863229248345,0.6922765287786098
ICU_composite_risk_score,lgo,lgo_hard,1,"add(mul(add(sqrt(id(lactate_mmol_l)), pow(sqrt(0.16604076384990693), id(lactate_mmol_l))), sqrt(pow(id(lactate_mmol_l), sqrt(-0.10712504311310728)))), sub(div(-0.6161775239364861, -0.1462488659627085), div(pow(id(vasopressor_use_std), -0.10712504311310728), div(add(pow(sqrt(id(vasopressor_use_std)), pow(zero, id(lactate_mmol_l))), add(sqrt(0.811715161179346), pow(sqrt(id(vasopressor_use_std)), pow(zero, -0.10712504311310728)))), sub(div(id(idF(vasopressor_use_std)), div(add(sqrt(id(lactate_mmol_l)), pow(sqrt(0.16604076384990693), id(lactate_mmol_l))), sub(-0.6161775239364861, div(-0.41544772919630313, -0.14995693780687963)))), div(-0.41544772919630313, -0.14995693780687963))))))",49.0,0.77134788312202,0.7305736175192159,0.7678621555840083,0.7870920433993231
ICU_composite_risk_score,pysr,base,1,vasopressor_use_std + vasopressor_use_std - 10.377454/(-1.5475736 - (dbp_min + map_mmhg + sbp_min/creatinine_mg_dl)/(lactate_mmol_l*spo2_min)),15.5,0.5840677270612862,,0.824746547977958,
ICU_composite_risk_score,operon,base,1,((-2.767663) + (1.870742 * ((sqrt((0.378800 * lactate_mmol_l)) + ((((-0.352955) * lactate_mmol_l) * 1.183570) + (sqrt((1.454077 * lactate_mmol_l)) + sqrt(sqrt((((-0.988023) * creatinine_mg_dl) * (-0.701607))))))) + (sqrt((0.378800 * lactate_mmol_l)) + sqrt(sqrt((2.082585 * vasopressor_use_std))))))),33.5,0.6482162838702441,,0.8102265665486901,
ICU_composite_risk_score,lgo,base,2,"sqrt(sub(log(div(sub(log(div(log(sqrt(id(map_mmhg))), log(one))), pow(mul(id(idF(map_mmhg)), log(-1.0561656281406036)), pow(id(vasopressor_use_std), add(-2.5377526650667517, id(map_mmhg))))), sqrt(sqrt(-0.9851757801766008)))), mul(sub(sqrt(id(idF(idF(vasopressor_use_std)))), 0.6484207118438365), log(zero))))",29.5,1.447274034623727,1.5142475787042748,0.5695347934851182,0.5869956960662183
ICU_composite_risk_score,lgo,lgo_soft,2,"lgo_or2(add(sub(0.3146394278647262, -0.5810550260284648), id(idF(idF(vasopressor_use_std)))), log(add(add(mul(one, lgo(lgo_and2(-2.2738347329416926, zero, as_pos(one), -0.8476970180946805), as_pos(sub(one, one)), -1.7756192942268427)), lgo_and3(lgo_or2(lgo_and3(log(zero), add(mul(one, 1.044198824114092), id(lactate_mmol_l)), sub(log(zero), log(0.3146394278647262)), as_pos(log(zero)), as_thr(lgo(zero, 5.247113504739629, -0.14330947325572485))), mul(div(lgo(2.357309880633885, 10.593999349902754, -1.5970277848592869), -0.05475271091585298), lgo(zero, 6.291464235321044, -0.03306811876329663)), as_pos(log(gate_expr(zero, 0.8936320939514228, -1.7756192942268427))), as_thr(one)), one, id(creatinine_mg_dl), 12.991182613960826, -0.7208352069499142)), lgo_and3(log(zero), add(mul(one, 1.044198824114092), id(lactate_mmol_l)), sub(log(zero), log(0.3146394278647262)), as_pos(log(zero)), as_thr(zero)))), as_pos(lgo_and2(add(sub(one, zero), id(idF(resprate_max))), log(one), 1.496209843604157, as_thr(zero))), as_thr(zero))",77.4,0.70074949061735,0.7359397269339852,0.7857121774684377,0.7992757070018421
ICU_composite_risk_score,lgo,lgo_hard,2,"div(mul(sub(add(add(lgo_thre(id(vasopressor_use_std), as_pos(add(one, one)), as_thr(pow(0.4128283301092272, one))), sqrt(lgo_thre(id(creatinine_mg_dl), as_pos(one), as_thr(log(mul(0.39218856540889085, one)))))), pow(one, 1.3950563878779363)), lgo_thre(sub(add(mul(id(lactate_mmol_l), -1.3763804130636221), pow(add(sub(0.12055076816184723, one), pow(one, one)), one)), lgo_thre(id(creatinine_mg_dl), as_pos(add(sub(0.12055076816184723, sqrt(one)), pow(one, one))), as_thr(log(sub(log(1.6359576371155664), one))))), as_pos(sub(sub(pow(pow(one, zero), pow(-1.3763804130636221, zero)), sub(sub(sub(zero, 0.4128283301092272), one), sub(0.8257565128187956, -0.7710060526185653))), log(mul(0.39218856540889085, one)))), as_thr(pow(zero, 1.1457291252713473)))), 1.3950563878779363), 0.49524158605374935)",65.5,0.47005820413213534,0.4512119918813679,0.8609185295028036,0.8769339325653739
ICU_composite_risk_score,pysr,base,2,sqrt(map_mmhg)/(-lactate_mmol_l*(creatinine_mg_dl + 0.6362956) - 0.9668099) + 2*vasopressor_use_std + 5.794558,13.0,0.6645135881077043,,0.7988220151701537,
ICU_composite_risk_score,operon,base,2,((-20.031004) + (16.899708 * sqrt(sqrt(((((-0.018379) * map_mmhg) - ((sqrt((1.013479 * vasopressor_use_std)) + ((-2.645419) * vasopressor_use_std)) - (sqrt(sqrt((1.519547 * lactate_mmol_l))) + sqrt(sqrt((0.979001 * lactate_mmol_l)))))) + (sqrt((sqrt((0.979001 * lactate_mmol_l)) + sqrt((0.101899 * lactate_mmol_l)))) + sqrt((sqrt((0.591001 * creatinine_mg_dl)) + sqrt((0.434294 * creatinine_mg_dl)))))))))),46.25,0.6016967340752158,,0.8177895654025621,
