dataset,method,experiment,seed,expr_id,complexity,loss,expression
ICU_composite_risk_score,lgo,base,5,60,36,1.0881275891535644,"add(2.4156325765208044, sub(one, pow(add(-0.5241799367149262, pow(log(0.041802149705175554), pow(one, -0.5241799367149262))), pow(pow(id(vasopressor_use_std), log(pow(add(add(-0.5241799367149262, log(0.041802149705175554)), pow(log(0.041802149705175554), pow(one, one))), pow(0.10432678298470884, id(lactate_mmol_l))))), id(lactate_mmol_l)))))"
ICU_composite_risk_score,lgo,base,21,37,38,0.7173102134767756,"add(id(vasopressor_use_std), add(add(sub(pow(pow(1.23100170195368, log(log(id(lactate_mmol_l)))), sub(0.4222131944520889, -1.3066040431727546)), -1.3066040431727546), add(mul(pow(one, pow(id(vasopressor_use_std), log(-1.3066040431727546))), sub(1.23100170195368, sub(0.4222131944520889, pow(id(idF(lactate_mmol_l)), log(-1.3066040431727546))))), one)), 1.23100170195368))"
ICU_composite_risk_score,lgo,base,3,45,51,0.4606310731211542,"add(1.5960603290695756, sub(add(1.750486188682745, add(add(1.5960603290695756, pow(id(lactate_mmol_l), log(mul(-1.6000285844037159, one)))), pow(id(idF(vasopressor_use_std)), add(add(add(1.5960603290695756, pow(id(creatinine_mg_dl), zero)), id(vasopressor_use_std)), add(mul(id(creatinine_mg_dl), add(1.750486188682745, add(one, one))), add(id(lactate_mmol_l), pow(id(creatinine_mg_dl), zero))))))), log(pow(id(lactate_mmol_l), log(1.5960603290695756)))))"
ICU_composite_risk_score,lgo,base,34,57,69,0.4522044135985838,"add(add(2.406110707391623, sqrt(log(add(mul(pow(one, -0.7174101835621757), id(creatinine_mg_dl)), add(mul(pow(add(2.406110707391623, add(2.406110707391623, one)), -0.7174101835621757), id(lactate_mmol_l)), sqrt(add(2.406110707391623, mul(pow(one, -0.7174101835621757), id(lactate_mmol_l))))))))), add(pow(mul(id(vasopressor_use_std), one), add(pow(mul(id(lactate_mmol_l), 2.4156325765208044), mul(pow(one, -0.7174101835621757), id(creatinine_mg_dl))), add(pow(log(add(mul(pow(1.6110091283399053, -0.7174101835621757), id(lactate_mmol_l)), sqrt(sqrt(2.406110707391623)))), add(-0.9736072149138503, -0.7174101835621757)), id(lactate_mmol_l)))), 2.406110707391623))"
ICU_composite_risk_score,lgo,lgo_hard,8,185,47,0.6838861045655268,"add(1.6351189135740198, log(sub(mul(add(add(1.4288573678394576, id(vasopressor_use_std)), id(idF(vasopressor_use_std))), mul(add(1.6351189135740198, id(creatinine_mg_dl)), sub(mul(add(sqrt(lgo_thre(1.4288573678394576, 4.652246421270819, -2.8796416331353303)), id(idF(lactate_mmol_l))), log(zero)), div(sub(sqrt(0.3026451082822579), pow(one, one)), add(log(-0.8423307604307692), mul(zero, 0.7662537170467788)))))), id(idF(map_mmhg)))))"
ICU_composite_risk_score,lgo,lgo_hard,13,119,71,0.5607969081408468,"add(div(id(vasopressor_use_std), sqrt(add(lgo_thre(sqrt(id(map_mmhg)), 0.8988280572692621, as_thr(one)), div(lgo_thre(add(sqrt(sqrt(sub(zero, zero))), div(sub(id(vasopressor_use_std), pow(-0.428099796774036, one)), div(one, log(zero)))), 0.8988280572692621, as_thr(lgo_thre(zero, 2.9515245805966157, -2.2724002773912253))), lgo_thre(add(add(sqrt(log(one)), id(map_mmhg)), div(id(map_mmhg), div(lgo_thre(zero, 3.331895877601497, -2.204550965544295), sub(zero, -0.13997728113302824)))), 4.843681066060409, as_thr(lgo_thre(zero, 2.3409611008807993, -1.4658575336129678))))))), div(sqrt(lgo_thre(id(lactate_mmol_l), 3.331895877601497, -0.5038671654360256)), 0.18225200260985802))"
ICU_composite_risk_score,lgo,lgo_hard,89,193,74,0.5433809426256849,"add(div(mul(mul(sqrt(add(lgo_thre(id(lactate_mmol_l), as_pos(add(one, 1.0402844067463624)), as_thr(-0.8551114420761105)), div(lgo_thre(-0.31898628513878496, as_pos(add(one, 1.0402844067463624)), 0.4472507879445352), add(one, 1.0402844067463624)))), mul(sqrt(add(lgo_thre(id(lactate_mmol_l), as_pos(add(one, 1.0402844067463624)), as_thr(-0.8551114420761105)), div(lgo_thre(add(one, -0.9251200086506476), as_pos(one), 0.4472507879445352), add(one, 1.0402844067463624)))), pow(1.0402844067463624, add(2.305717915802626, pow(id(creatinine_mg_dl), sqrt(-0.31898628513878496)))))), mul(sqrt(pow(pow(1.0402844067463624, 2.4332516327748817), id(idF(idF(creatinine_mg_dl))))), sqrt(0.8993407078584438))), 0.18225200260985802), id(idF(vasopressor_use_std)))"
ICU_composite_risk_score,lgo,lgo_hard,2,122,87,0.4700582041321353,"div(mul(sub(add(add(lgo_thre(id(vasopressor_use_std), as_pos(add(one, one)), as_thr(pow(0.4128283301092272, one))), sqrt(lgo_thre(id(creatinine_mg_dl), as_pos(one), as_thr(log(mul(0.39218856540889085, one)))))), pow(one, 1.3950563878779363)), lgo_thre(sub(add(mul(id(lactate_mmol_l), -1.3763804130636221), pow(add(sub(0.12055076816184723, one), pow(one, one)), one)), lgo_thre(id(creatinine_mg_dl), as_pos(add(sub(0.12055076816184723, sqrt(one)), pow(one, one))), as_thr(log(sub(log(1.6359576371155664), one))))), as_pos(sub(sub(one, sub(sub(mul(one, -1.2478561913739645), one), sub(0.8257565128187956, -0.7710060526185653))), id(idF(idF(lactate_mmol_l))))), as_thr(pow(zero, 1.1457291252713473)))), 1.3950563878779363), 0.49524158605374935)"
ICU_composite_risk_score,lgo,lgo_soft,89,299,14,1.6459077764927732,"lgo_or2(id(idF(idF(idF(idF(vasopressor_use_std))))), div(1.8890653595096554, 0.3578322089713467), as_pos(-0.12430249530350962), as_thr(one))"
ICU_composite_risk_score,lgo,lgo_soft,5,261,53,1.353712783903513,"lgo_and2(add(one, -0.6895529602220315), sub(add(id(idF(vasopressor_use_std)), add(id(idF(vasopressor_use_std)), add(id(idF(vasopressor_use_std)), add(id(idF(idF(idF(lactate_mmol_l)))), sub(id(vasopressor_use_std), div(id(sbp_min), lgo_or2(mul(zero, -0.6895529602220315), gate_expr(one, 0.8823220864382316, -1.3654689050143358), 0.9582040710358466, 1.9164861131081772))))))), log(zero)), as_pos(id(sodium_min)), as_thr(lgo_and2(-0.6101222738862025, div(one, 1.308709255452051), 0.8823220864382316, as_thr(-0.9037772525007115))))"
