phase,duration_s,method,seed,split
fit,74.13956713676453,lgo,1,0
fit,107.3115496635437,lgo,1,0
fit,70.88496661186218,lgo,1,0
fit,15.535614490509033,pysr,1,0
fit,0.6037659645080566,operon,1,0
fit,70.5763041973114,lgo,2,0
fit,90.07298874855042,lgo,2,0
fit,73.73343539237976,lgo,2,0
fit,7.838583707809448,pysr,2,0
fit,0.5661525726318359,operon,2,0
fit,66.9970805644989,lgo,3,0
fit,62.845062255859375,lgo,3,0
fit,73.42894196510315,lgo,3,0
fit,7.529784917831421,pysr,3,0
fit,0.581265926361084,operon,3,0
fit,69.97000527381897,lgo,5,0
fit,73.94678378105164,lgo,5,0
fit,71.14757108688354,lgo,5,0
fit,8.061411142349243,pysr,5,0
fit,0.5588538646697998,operon,5,0
fit,74.26160192489624,lgo,8,0
fit,84.25956749916077,lgo,8,0
fit,62.49704337120056,lgo,8,0
fit,7.226717710494995,pysr,8,0
fit,0.5751180648803711,operon,8,0
fit,75.29021334648132,lgo,13,0
fit,81.69030714035034,lgo,13,0
fit,74.44126725196838,lgo,13,0
fit,6.982618808746338,pysr,13,0
fit,0.5595567226409912,operon,13,0
fit,63.35939288139343,lgo,21,0
fit,107.76460456848145,lgo,21,0
fit,71.56428551673889,lgo,21,0
fit,6.789900064468384,pysr,21,0
fit,0.5568156242370605,operon,21,0
fit,73.02394509315491,lgo,34,0
fit,89.79180359840393,lgo,34,0
fit,74.27097964286804,lgo,34,0
fit,7.930312871932983,pysr,34,0
fit,0.4712095260620117,operon,34,0
fit,78.86052966117859,lgo,55,0
fit,79.9903175830841,lgo,55,0
fit,72.63824534416199,lgo,55,0
fit,7.574334621429443,pysr,55,0
fit,0.5860817432403564,operon,55,0
fit,68.80375909805298,lgo,89,0
fit,71.77769422531128,lgo,89,0
fit,71.11663937568665,lgo,89,0
fit,6.380543231964111,pysr,89,0
fit,0.5567195415496826,operon,89,0
fit,164.1446189880371,pstree,1,0
fit,135.05879998207092,pstree,2,0
fit,134.4847059249878,pstree,3,0
fit,134.99449253082275,pstree,5,0
fit,135.04017210006714,pstree,8,0
fit,135.261314868927,pstree,13,0
fit,134.88810420036316,pstree,21,0
fit,135.68641424179077,pstree,34,0
fit,135.43612837791443,pstree,55,0
fit,135.1553635597229,pstree,89,0
fit,52.06696057319641,rils_rols,1,0
fit,58.4804413318634,rils_rols,2,0
fit,47.71667504310608,rils_rols,3,0
fit,52.64595055580139,rils_rols,5,0
fit,56.80252766609192,rils_rols,8,0
fit,70.32074117660522,rils_rols,13,0
fit,63.79526925086975,rils_rols,21,0
fit,72.52206587791443,rils_rols,34,0
fit,64.22115993499756,rils_rols,55,0
fit,59.514488220214844,rils_rols,89,0
