dataset,experiment,feature,feature_norm,unit,median,q1,q3,guideline,rel_error,hit_10pct,hit_20pct,N
ICU_composite_risk_score,lgo_hard,add,add,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,creatinine_mg_dl,creatininemgdl,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,dbp_min,dbpmin,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,div,div,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,hr_max,hrmax,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,lactate_mmol_l,lactatemmoll,nan,1.8859746276467664,0.7877361768827276,2.065373377027976,,,0,0,1
ICU_composite_risk_score,lgo_hard,map_mmhg,mapmmhg,nan,63.71252285114088,63.71252285114088,63.71252285114088,,,0,0,1
ICU_composite_risk_score,lgo_hard,mechanical_ventilation_std,mechanicalventilationstd,nan,0.5662514403332286,0.5662514403332286,0.5662514403332286,,,0,0,1
ICU_composite_risk_score,lgo_hard,mul,mul,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,one,one,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,resprate_max,respratemax,nan,27.0387182438082,27.0387182438082,27.0387182438082,,,0,0,1
ICU_composite_risk_score,lgo_hard,sub,sub,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,unknown,unknown,nan,,,,,,0,0,1
ICU_composite_risk_score,lgo_hard,vasopressor_use_std,vasopressorusestd,nan,0.1039115344522578,0.1039115344522578,0.1039115344522578,,,0,0,1
ICU_composite_risk_score,lgo_hard,zero,zero,nan,,,,,,0,0,1
