dataset,method,experiment,gate_type,feature,unit,mu,sigma,count,b_z_median,b_z_q1,b_z_q3,b_raw_median,b_raw_q1,b_raw_q3,n_dynamic
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,add,,,,10,0.4472507879445352,0.339892887951675,0.6455571462098193,,,,0
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,creatinine_mg_dl,,1.6661401837359648,1.68573891446214,10,,,,,,,10
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,dbp_min,,45.143989792446405,10.750959460378954,6,,,,,,,6
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,div,,,,7,,,,,,,7
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,hr_max,,106.4003654304185,20.621686857936755,10,,,,,,,10
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,lactate_mmol_l,,2.7740894181694458,2.322917392455988,98,-0.3823273239965233,-0.8551114420761105,-0.3050973932362504,1.8859746276467662,0.7877361768827276,2.0653733770279756,22
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,map_mmhg,,57.1694453895883,12.352148616028506,30,0.5297116853874391,0.5297116853874391,0.5297116853874391,63.71252285114088,63.71252285114088,63.71252285114088,20
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,mechanical_ventilation_std,,0.7053419530452535,0.4558888925161052,1,-0.3050973932362504,-0.3050973932362504,-0.3050973932362504,0.5662514403332286,0.5662514403332286,0.5662514403332286,0
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,mul,,,,19,-0.6757106012938107,-0.6757106012938107,-0.6757106012938107,,,,0
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,one,,,,30,-0.21990738898470305,-0.6757106012938107,0.8288573778873005,,,,1
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,resprate_max,,29.17720789384144,7.00920328210511,1,-0.3050973932362504,-0.3050973932362504,-0.3050973932362504,27.0387182438082,27.0387182438082,27.0387182438082,0
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,sub,,,,2,,,,,,,2
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,unknown,,,,30,-0.9486710409136525,-2.7086222959437865,0.5841194665024061,,,,10
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,vasopressor_use_std,,0.43926505614154476,0.49629755852160945,62,-0.6757106012938107,-0.6757106012938107,-0.6757106012938107,0.10391153445225787,0.10391153445225787,0.10391153445225787,41
ICU_composite_risk_score,lgo,lgo_hard,lgo_thre,zero,,,,30,-0.6333389490009402,-0.7412077143689157,0.5297116853874391,,,,0
