dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
NHANES_metabolic_score,lgo,base,1,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(gender_std)))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(hdl_cholesterol)), sub(0.4786477755556404, zero)), add(one, add(0.4786477755556404, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",41.5,0.47909193898907326,0.42332758613172816,0.7296009913708019,0.7600694105750383
NHANES_metabolic_score,lgo,lgo_soft,1,"lgo_or2(gate_expr(add(lgo_or2(1.3756635782048707, lgo_or2(lgo_and2(lgo_or2(id(idF(gender_std)), pow(log(zero), one), as_pos(pow(one, one)), -0.17853769492612434), gate_expr(one, 4.346518596708038, as_thr(log(-0.21564796692814825))), 0.4007222543702675, -1.9454177189077027), id(systolic_bp), 0.2153040221620709, as_thr(lgo_or2(id(idF(idF(waist_circumference))), div(-1.785258712502296, id(idF(fasting_glucose))), as_pos(lgo_and2(id(waist_circumference), 0.13575479017744166, 0.8587378477458819, -1.8355002897582247)), as_thr(div(0.6613074840248659, -2.5459782784949576))))), 2.305548970756763, -1.8657328079515263), lgo_or2(1.048187487437735, lgo_or2(lgo_and3(one, 0.5701109731355422, pow(2.2361001917537746, zero), as_pos(pow(one, one)), -2.9888863518636883), id(idF(triglycerides)), as_pos(div(pow(sub(0.6613074840248659, one), -0.5888128772902409), zero)), -1.7056343819847601), 4.346518596708038, as_thr(lgo(sqrt(0.6384187958515859), 3.7179652890392414, 1.011824101101927)))), 4.346518596708038, -1.2477934788550766), lgo_or2(id(waist_circumference), div(lgo(id(idF(triglycerides)), as_pos(mul(1.4147623563280207, one)), as_thr(lgo_or2(id(idF(idF(waist_circumference))), div(-1.785258712502296, id(idF(fasting_glucose))), as_pos(lgo_and2(gate_expr(zero, 2.233778558250975, 1.0740521001459213), 0.13575479017744166, as_pos(-1.0345536898509808), -1.2860361231422834)), as_thr(div(0.6613074840248659, -2.5459782784949576))))), -2.5459782784949576), as_pos(div(pow(sub(0.6613074840248659, one), -0.5888128772902409), zero)), as_thr(div(one, -2.5459782784949576))), as_pos(div(pow(sub(0.13575479017744166, one), -0.5888128772902409), zero)), 0.6623410928136932)",96.8,0.7208667692728178,0.7183494455149059,0.5794077347758385,0.5928590256769757
NHANES_metabolic_score,lgo,lgo_hard,1,"add(lgo_thre(id(idF(idF(triglycerides))), as_pos(div(mul(div(lgo_thre(sub(-1.0502613372200247, -0.9390906078072022), 3.6128198355563583, 1.5513463031160701), mul(-0.6652969834037298, zero)), one), 0.22201752615313772)), as_thr(add(lgo_thre(zero, 0.472075348983974, 1.4027340652306366), id(idF(idF(systolic_bp)))))), div(add(sqrt(add(add(add(id(idF(systolic_bp)), id(idF(waist_circumference))), div(log(-0.24169490426498097), pow(-1.5846343527933446, lgo_thre(zero, 3.253030039110963, 0.33773742950415137)))), mul(lgo_thre(id(idF(gender_std)), 4.473035360321174, as_thr(id(fasting_glucose))), one))), add(zero, pow(sqrt(add(lgo_thre(zero, 0.488149552424526, 0.8229911542129571), id(idF(idF(fasting_glucose))))), zero))), pow(div(one, one), one)))",47.5,0.3822782652876553,0.4258996903183237,0.7746807973714714,0.7586116117124803
NHANES_metabolic_score,pysr,base,1,0.08537961*sqrt(age_band*triglycerides + 2.0338483*sqrt(fasting_glucose)*systolic_bp) - 4.604381 + waist_circumference/hdl_cholesterol,15.25,0.685863113311927,,0.5961133115777472,
NHANES_metabolic_score,operon,base,1,(7.168697 + ((-4664.765137) * (1.338378 / sqrt(((((sqrt(sqrt((0.378594 * hdl_cholesterol))) + (0.434294 * waist_circumference)) + (sqrt(((0.755178 * hdl_cholesterol) + (0.812135 * triglycerides))) * sqrt((0.839275 * gender_std)))) / sqrt((0.378594 * hdl_cholesterol))) * ((((2.053244 * fasting_glucose) + (0.812135 * triglycerides)) + ((0.881968 * hdl_cholesterol) - sqrt((0.839275 * gender_std)))) * (3.141593 * systolic_bp))))))),43.0,0.5327037055104946,,0.6890573196853522,
NHANES_metabolic_score,lgo,base,2,"add(id(waist_circumference), add(add(sqrt(id(triglycerides)), add(0.04797045786946407, sqrt(add(mul(0.0205384716360867, zero), sqrt(add(0.0205384716360867, id(systolic_bp))))))), sub(one, log(sub(div(one, pow(log(sub(sqrt(0.19334354752282332), pow(-0.03013291316306348, 0.8476825651819461))), pow(sqrt(id(waist_circumference)), log(log(zero))))), sub(0.6752961290746918, pow(mul(div(-0.10725852511245051, one), log(zero)), 0.08045260554972107)))))))",34.0,0.578489307187559,0.6595832925019306,0.6411042531252864,0.6610567613411356
NHANES_metabolic_score,lgo,lgo_soft,2,"lgo_and3(lgo(one, 64.67143986322793, -0.940686682518693), lgo_or2(lgo_or2(id(idF(idF(idF(idF(idF(idF(waist_circumference))))))), sub(1.4282569942755328, sub(sqrt(sub(lgo(1.5249142056973035, 3.5124329433959924, 1.7503541543098264), id(idF(systolic_bp)))), id(triglycerides))), 64.67143986322793, -1.348535809650261), div(1.0273780383434328, 0.32165052002120237), as_pos(one), as_thr(id(idF(waist_circumference)))), one, as_pos(0.8730099931600798), as_thr(gate_expr(mul(div(lgo_or2(sqrt(sub(-1.8869309135863035, id(idF(triglycerides)))), div(-0.6536792314988372, one), as_pos(sub(pow(zero, -0.6473715492600821), one)), -1.6840954040287772), sqrt(lgo(1.5249142056973035, 3.5124329433959924, 1.7056566271762317))), id(idF(waist_circumference))), as_pos(one), as_thr(mul(sqrt(sub(-1.8869309135863035, zero)), id(idF(waist_circumference)))))))",48.3,0.7628184118647713,0.8358187052919105,0.558735811284772,0.5704938221999158
NHANES_metabolic_score,lgo,lgo_hard,2,"div(sqrt(add(add(id(triglycerides), id(fasting_glucose)), add(add(sqrt(sqrt(id(idF(idF(systolic_bp))))), add(one, 1.0036861802951598)), id(waist_circumference)))), lgo_thre(pow(sub(sqrt(mul(-0.21720197285454457, -0.32299435492642664)), sub(zero, mul(one, lgo_thre(add(id(fasting_glucose), id(fasting_glucose)), 69.22146974788693, -0.7418366990798951)))), id(fasting_glucose)), as_pos(sub(sub(-0.21720197285454457, sub(sub(-0.21720197285454457, id(waist_circumference)), lgo_thre(log(-1.1737037942292965), as_pos(add(one, zero)), 0.2850049553277507))), zero)), as_thr(div(sqrt(add(sub(one, log(sqrt(0.4192338587841216))), add(id(triglycerides), id(systolic_bp)))), div(id(idF(age_band)), mul(one, lgo_thre(id(systolic_bp), 60.45880899794335, -0.8614183584042393)))))))",48.5,0.48734375375771144,0.5936927035561523,0.6996715998153442,0.6949162751710082
NHANES_metabolic_score,pysr,base,2,2.2745774*bmi/hdl_cholesterol + sqrt(age_band + sqrt(triglycerides)) + 1.316493 - 45.70905/sqrt(systolic_bp),15.75,0.6295723701843485,,0.6188490679307781,
NHANES_metabolic_score,operon,base,2,((-17.705130) + (3.735965 * (sqrt((sqrt(((1.482861 * waist_circumference) - ((-0.388138) * fasting_glucose))) + (sqrt((0.839275 * gender_std)) + sqrt(((((0.797663 * age) + (0.839275 * gender_std)) + (0.293865 * triglycerides)) / sqrt((1.176267 * triglycerides))))))) + sqrt(((sqrt(sqrt((1.176267 * triglycerides))) / sqrt(((0.494577 * hdl_cholesterol) + (-3.515811)))) * (0.016210 * systolic_bp)))))),46.25,0.5335415772148258,,0.6826607047340871,
