dataset,task,method,experiment,seed,split,metric,value
NHANES_metabolic_score,regression,lgo,base,1,0,RMSE,0.640507860672359
NHANES_metabolic_score,regression,lgo,base,1,0,MAE,0.5154201717552639
NHANES_metabolic_score,regression,lgo,base,1,0,R2,0.7674812504217041
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,RMSE,0.8668187680402102
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,MAE,0.7033209577264579
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,R2,0.5741411640983707
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,RMSE,0.819144007513398
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,MAE,0.6585411429960628
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,R2,0.6196971607711347
NHANES_metabolic_score,regression,pysr,base,1,0,RMSE,0.7770179660431392
NHANES_metabolic_score,regression,pysr,base,1,0,MAE,0.6225562488846007
NHANES_metabolic_score,regression,pysr,base,1,0,R2,0.6578069600858234
NHANES_metabolic_score,regression,operon,base,1,0,RMSE,0.7086628664134568
NHANES_metabolic_score,regression,operon,base,1,0,MAE,0.5648311384198101
NHANES_metabolic_score,regression,operon,base,1,0,R2,0.7153649331620726
NHANES_metabolic_score,regression,lgo,base,2,0,RMSE,0.8017309355133666
NHANES_metabolic_score,regression,lgo,base,2,0,MAE,0.622093590983859
NHANES_metabolic_score,regression,lgo,base,2,0,R2,0.6696954077505463
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,RMSE,0.8963860266815756
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,MAE,0.709151389856359
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,R2,0.5870975265704617
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,RMSE,1.28793525969828
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,MAE,0.9754558962833478
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,R2,0.14759616561396427
NHANES_metabolic_score,regression,pysr,base,2,0,RMSE,0.8354013301759959
NHANES_metabolic_score,regression,pysr,base,2,0,MAE,0.6796156802606678
NHANES_metabolic_score,regression,pysr,base,2,0,R2,0.6413691434197342
NHANES_metabolic_score,regression,operon,base,2,0,RMSE,0.7673277727900807
NHANES_metabolic_score,regression,operon,base,2,0,MAE,0.6193270246578465
NHANES_metabolic_score,regression,operon,base,2,0,R2,0.6974346690652358
NHANES_metabolic_score,regression,lgo,base,3,0,RMSE,0.7821659476870745
NHANES_metabolic_score,regression,lgo,base,3,0,MAE,0.6399978318274705
NHANES_metabolic_score,regression,lgo,base,3,0,R2,0.6759333993976064
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,RMSE,0.9815679509052924
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,MAE,0.7890394847114378
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,R2,0.4896393241034014
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,RMSE,0.9294465462699537
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,MAE,0.7482417191544717
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,R2,0.5424007540156313
NHANES_metabolic_score,regression,pysr,base,3,0,RMSE,0.8470911876089912
NHANES_metabolic_score,regression,pysr,base,3,0,MAE,0.6995430765764002
NHANES_metabolic_score,regression,pysr,base,3,0,R2,0.6199009433574114
NHANES_metabolic_score,regression,operon,base,3,0,RMSE,0.840792927831526
NHANES_metabolic_score,regression,operon,base,3,0,MAE,0.6608401184614673
NHANES_metabolic_score,regression,operon,base,3,0,R2,0.6255321266007875
NHANES_metabolic_score,regression,lgo,base,5,0,RMSE,0.7717352578511594
NHANES_metabolic_score,regression,lgo,base,5,0,MAE,0.6146292504869615
NHANES_metabolic_score,regression,lgo,base,5,0,R2,0.657329422613214
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,RMSE,0.7953270322864987
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,MAE,0.6166431063924913
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,R2,0.6360584671025775
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,RMSE,0.7636691944553257
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,MAE,0.6060770414685077
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,R2,0.6644550737968553
NHANES_metabolic_score,regression,pysr,base,5,0,RMSE,0.8005982240767086
NHANES_metabolic_score,regression,pysr,base,5,0,MAE,0.6518447313048138
NHANES_metabolic_score,regression,pysr,base,5,0,R2,0.6312182872669804
NHANES_metabolic_score,regression,operon,base,5,0,RMSE,0.7116177098289473
NHANES_metabolic_score,regression,operon,base,5,0,MAE,0.5611023027252774
NHANES_metabolic_score,regression,operon,base,5,0,R2,0.7086375182969886
NHANES_metabolic_score,regression,lgo,base,8,0,RMSE,0.6394640834547356
NHANES_metabolic_score,regression,lgo,base,8,0,MAE,0.5207781441075593
NHANES_metabolic_score,regression,lgo,base,8,0,R2,0.7750500582896696
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,RMSE,0.8704487631567895
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,MAE,0.6915726031824894
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,R2,0.5831882083274257
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,RMSE,0.6081770582645127
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,MAE,0.4517837331151476
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,R2,0.7965237904042589
NHANES_metabolic_score,regression,pysr,base,8,0,RMSE,0.7843765625978104
