dataset,method,experiment,seed,expr_id,complexity,loss,expression
NHANES_metabolic_score,lgo,base,2,21,46,0.578489307187559,"add(id(waist_circumference), add(add(sqrt(id(triglycerides)), add(0.08045260554972107, sqrt(add(mul(0.0205384716360867, 0.8476825651819461), sqrt(add(0.0205384716360867, id(systolic_bp))))))), sub(one, log(sub(div(one, pow(log(sub(sqrt(0.19334354752282332), pow(-0.03013291316306348, 0.8476825651819461))), pow(sqrt(id(waist_circumference)), log(log(zero))))), sub(0.6752961290746918, pow(1.9347799467350393, 0.08045260554972107)))))))"
NHANES_metabolic_score,lgo,base,89,90,56,0.4074941846753122,"add(add(sqrt(add(add(add(id(fasting_glucose), pow(div(one, add(id(fasting_glucose), 1.2639869903086571)), id(fasting_glucose))), pow(div(div(one, add(id(fasting_glucose), one)), add(id(fasting_glucose), add(id(fasting_glucose), one))), id(fasting_glucose))), add(sqrt(add(add(mul(id(gender_std), 1.2639869903086571), 1.2639869903086571), id(waist_circumference))), id(waist_circumference)))), sqrt(sqrt(id(triglycerides)))), sqrt(sqrt(sqrt(id(systolic_bp)))))"
NHANES_metabolic_score,lgo,lgo_hard,8,183,52,0.388632554120573,"add(div(add(sqrt(id(triglycerides)), add(sqrt(sqrt(sqrt(id(idF(waist_circumference))))), sqrt(lgo_thre(sub(id(idF(fasting_glucose)), lgo_thre(-0.3318021147234311, 7.617259856894088, -0.8940846446665258)), 18.52072761542269, -1.3546162227192513)))), pow(div(div(lgo_thre(lgo_thre(add(zero, zero), 1.9923101603983158, as_thr(log(0.9299588042043241))), 1.5707654208946573, -0.8940846446665258), one), one), add(sqrt(id(idF(gender_std))), one))), lgo_thre(id(systolic_bp), 8.265765893112269, 0.1588207380501588))"
NHANES_metabolic_score,lgo,lgo_hard,1,101,80,0.3822782652876553,"add(lgo_thre(id(idF(idF(triglycerides))), as_pos(div(mul(div(lgo_thre(sub(-1.0502613372200247, -0.9390906078072022), 0.472075348983974, 1.3862832090807156), mul(-0.6652969834037298, zero)), one), 0.22201752615313772)), as_thr(add(lgo_thre(zero, 0.472075348983974, 0.9582340416930116), id(idF(idF(fasting_glucose)))))), div(add(sqrt(add(add(add(id(idF(systolic_bp)), id(idF(waist_circumference))), div(log(-0.24169490426498097), pow(-1.5846343527933446, lgo_thre(zero, 3.253030039110963, 0.4244666100372701)))), mul(lgo_thre(id(idF(gender_std)), 4.473035360321174, as_thr(id(fasting_glucose))), one))), add(zero, pow(sqrt(add(lgo_thre(zero, 0.488149552424526, 0.9582340416930116), id(idF(fasting_glucose)))), zero))), pow(div(one, one), one)))"
NHANES_metabolic_score,lgo,lgo_hard,3,147,86,0.3707646813053096,"add(lgo_thre(id(idF(fasting_glucose)), as_pos(pow(id(idF(bmi)), log(add(id(idF(fasting_glucose)), 0.4632545776734766)))), -0.39066296962134617), sqrt(add(mul(lgo_thre(id(idF(idF(idF(waist_circumference)))), 2.4373627407520417, as_thr(add(sub(pow(zero, log(zero)), add(sqrt(1.247031133063992), mul(zero, -0.24315176359450819))), id(idF(idF(waist_circumference)))))), add(add(id(idF(idF(waist_circumference))), add(lgo_thre(id(idF(systolic_bp)), 2.4373627407520417, as_thr(one)), add(lgo_thre(id(triglycerides), 2.4373627407520417, as_thr(one)), sub(one, id(hdl_cholesterol))))), add(add(id(idF(systolic_bp)), add(0.4731688446462943, sub(one, zero))), id(idF(idF(idF(gender_std))))))), id(triglycerides))))"
NHANES_metabolic_score,lgo,lgo_hard,13,112,100,0.3373011396232247,"add(sqrt(add(sub(mul(lgo_thre(id(idF(idF(idF(gender_std)))), 4.233658664780966, as_thr(-0.4904430200266432)), 1.342970854200002), mul(lgo_thre(0.6425265431489704, 5.386908271829382, as_thr(sub(-1.450621838088647, sub(sqrt(1.0540554936021023), lgo_thre(one, 3.871448603652802, 0.47863414385554925))))), id(idF(idF(idF(idF(hdl_cholesterol))))))), sub(id(idF(idF(triglycerides))), 0.6425265431489704))), mul(sub(sub(add(lgo_thre(id(idF(idF(fasting_glucose))), 6.122902935186297, as_thr(sub(-1.450621838088647, sub(sqrt(1.0540554936021023), lgo_thre(one, 6.122902935186297, 0.47863414385554925))))), -0.731152239418866), lgo_thre(id(idF(idF(fasting_glucose))), 6.122902935186297, -0.5683582929671215)), sub(zero, -0.48190840970267135)), sub(add(sub(-0.14618015225278647, lgo_thre(id(idF(idF(waist_circumference))), 3.639146873629467, as_thr(-0.4904430200266432))), -0.11094602151078137), mul(lgo_thre(id(idF(idF(systolic_bp))), 2.889385999548329, as_thr(div(id(idF(idF(diastolic_bp))), -0.21720197285454457))), 1.342970854200002))))"
NHANES_metabolic_score,lgo,lgo_soft,13,218,59,0.6512785193374107,"lgo_or2(gate_expr(add(add(one, lgo(add(sqrt(id(idF(triglycerides))), lgo(sqrt(sqrt(id(systolic_bp))), 12.280561580225651, as_thr(sqrt(lgo_and2(0.3059301643973954, 0.40375234550264405, 1.7684138258947122, -1.3610471900870424))))), as_pos(sub(sub(sub(gate_expr(one, 10.011040461997718, -0.8979268024763676), one), log(zero)), log(zero))), 0.6321481329119906)), 1.3756635782048707), 6.779359069367219, as_thr(2.114577487304907)), id(idF(waist_circumference)), as_pos(div(div(-1.6192221208415445, lgo_and2(0.35069057220471295, div(one, 1.3405132153904948), 7.253778953931367, as_thr(2.114577487304907))), one)), 0.6321481329119906)"
NHANES_metabolic_score,lgo,lgo_soft,5,263,70,0.5418572363131037,"lgo_or2(gate_expr(add(sub(lgo_or2(0.4844373647795099, one, 0.28628930170629363, as_thr(one)), -0.5693926630964782), 1.3756635782048707), 4.202272196053015, as_thr(lgo(zero, 2.449180714143369, 1.7193908333195742))), sub(div(sub(div(id(idF(waist_circumference)), sub(lgo_or2(0.4844373647795099, 1.091933324045044, as_pos(lgo_or2(sub(-0.5693926630964782, -0.5693926630964782), one, 4.202272196053015, 1.7193908333195742)), as_thr(0.038716309868078905)), -0.5693926630964782)), sqrt(sqrt(sub(sub(0.4844373647795099, id(idF(triglycerides))), id(idF(idF(systolic_bp))))))), sub(gate_expr(one, 0.41778643286811856, 1.630410459796589), -0.5693926630964782)), sqrt(sqrt(sqrt(sqrt(sqrt(sub(-0.4023304702818481, id(idF(fasting_glucose))))))))), 6.103473310273042, 1.6571587305737852)"
NHANES_metabolic_score,lgo,lgo_soft,55,272,98,0.4863923657853859,"add(lgo_or2(pow(0.8358912219436004, id(hdl_cholesterol)), lgo_and2(add(pow(-0.7716302784444496, id(triglycerides)), add(sqrt(pow(0.8358912219436004, id(hdl_cholesterol))), div(gate_expr(zero, 3915.544530498645, 0.3430401194124394), lgo(zero, 2531.455033647041, 1.0994833693130006)))), id(waist_circumference), as_pos(0.49317208329165174), as_thr(0.8358912219436004)), as_pos(0.49317208329165174), as_thr(one)), sqrt(lgo(lgo_or2(id(idF(idF(idF(systolic_bp)))), lgo_or2(id(waist_circumference), add(lgo_or2(add(pow(add(one, -0.6041582042363575), id(hdl_cholesterol)), id(triglycerides)), add(add(sqrt(1.4376089022671286), id(gender_std)), id(idF(fasting_glucose))), 2531.455033647041, 1.7926892948038178), lgo(sqrt(one), as_pos(lgo_or2(zero, one, 179.19777712894486, -2.0562387176175605)), -2.3665647005759167)), as_pos(one), -1.9345238566793244), 560.5311257923131, as_thr(id(gender_std))), as_pos(gate_expr(id(hdl_cholesterol), 560.5311257923131, as_thr(-0.3524921361489197))), as_thr(pow(0.8358912219436004, 0.05114520261711991)))))"
NHANES_metabolic_score,operon,base,13,601,25,0.5329794839949895,(18.728292 + ((-476.815094) * (0.094723 / sqrt(sqrt(((((0.391552 * (0.030749 * hdl_cholesterol)) * 0.094723) * (((0.812135 * triglycerides) * ((2.365688 * gender_std) * 0.391552)) + ((1.849813 * fasting_glucose) + (0.812135 * triglycerides)))) + (((((-0.014571) * systolic_bp) * (6.283185 * waist_circumference)) / (1.203899 * hdl_cholesterol)) / (-0.539512))))))))
