phase,duration_s,method,seed,split
fit,12.384037971496582,lgo,1,0
fit,28.64383029937744,lgo,1,0
fit,18.14394187927246,lgo,1,0
fit,11.802606105804443,pysr,1,0
fit,0.4652750492095947,operon,1,0
fit,12.744447469711304,lgo,2,0
fit,18.292691469192505,lgo,2,0
fit,14.9726722240448,lgo,2,0
fit,5.839048862457275,pysr,2,0
fit,0.4935617446899414,operon,2,0
fit,11.127986192703247,lgo,3,0
fit,17.079203605651855,lgo,3,0
fit,14.290943145751953,lgo,3,0
fit,5.977326393127441,pysr,3,0
fit,0.4982614517211914,operon,3,0
fit,14.404036521911621,lgo,5,0
fit,18.724520444869995,lgo,5,0
fit,16.857547283172607,lgo,5,0
fit,5.803744077682495,pysr,5,0
fit,0.47351741790771484,operon,5,0
fit,11.157748937606812,lgo,8,0
fit,23.054518222808838,lgo,8,0
fit,18.58301305770874,lgo,8,0
fit,5.443805694580078,pysr,8,0
fit,0.49776744842529297,operon,8,0
fit,12.271171808242798,lgo,13,0
fit,17.821890830993652,lgo,13,0
fit,14.118773698806763,lgo,13,0
fit,5.3329901695251465,pysr,13,0
fit,0.47277379035949707,operon,13,0
fit,11.564159631729126,lgo,21,0
fit,32.60833191871643,lgo,21,0
fit,13.644757747650146,lgo,21,0
fit,5.535014867782593,pysr,21,0
fit,0.45926380157470703,operon,21,0
fit,12.72504186630249,lgo,34,0
fit,18.75631546974182,lgo,34,0
fit,16.35578942298889,lgo,34,0
fit,5.06596040725708,pysr,34,0
fit,0.5072553157806396,operon,34,0
fit,17.62470269203186,lgo,55,0
fit,24.880940914154053,lgo,55,0
fit,9.071849822998047,lgo,55,0
fit,5.799436330795288,pysr,55,0
fit,0.4653468132019043,operon,55,0
fit,10.701111316680908,lgo,89,0
fit,28.82943081855774,lgo,89,0
fit,21.332874059677124,lgo,89,0
fit,5.8258161544799805,pysr,89,0
fit,0.49598145484924316,operon,89,0
fit,163.8970558643341,pstree,1,0
fit,158.10142135620117,pstree,2,0
fit,176.28357338905334,pstree,3,0
fit,144.90263056755066,pstree,5,0
fit,147.65060901641846,pstree,8,0
fit,154.53519535064697,pstree,13,0
fit,151.4262855052948,pstree,21,0
fit,138.38630199432373,pstree,34,0
fit,145.71360635757446,pstree,55,0
fit,146.93697452545166,pstree,89,0
fit,59.45281219482422,rils_rols,1,0
fit,57.47235679626465,rils_rols,2,0
fit,59.05587863922119,rils_rols,3,0
fit,58.7420334815979,rils_rols,5,0
fit,59.35385060310364,rils_rols,8,0
fit,57.632039308547974,rils_rols,13,0
fit,57.9966607093811,rils_rols,21,0
fit,58.4595160484314,rils_rols,34,0
fit,59.09907269477844,rils_rols,55,0
fit,58.26057481765747,rils_rols,89,0
