dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
NHANES_metabolic_score,regression,lgo,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.1250876889170951,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,metrics_guard_RMSE_ge_MAE,OK,0.16349781031375232,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,metrics_guard_RMSE_ge_MAE,OK,0.1606028645173352,>= 0,
NHANES_metabolic_score,regression,pysr,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,pysr,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.15446171715853851,>= 0,
NHANES_metabolic_score,regression,operon,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,operon,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.14383172799364663,>= 0,
NHANES_metabolic_score,regression,lgo,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.17963734452950764,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,metrics_guard_RMSE_ge_MAE,OK,0.18723463682521668,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,metrics_guard_RMSE_ge_MAE,OK,0.3124793634149322,>= 0,
NHANES_metabolic_score,regression,pysr,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,pysr,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.15578564991532817,>= 0,
NHANES_metabolic_score,regression,operon,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,operon,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.14800074813223418,>= 0,
NHANES_metabolic_score,regression,lgo,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.14216811585960398,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,metrics_guard_RMSE_ge_MAE,OK,0.19252846619385455,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,metrics_guard_RMSE_ge_MAE,OK,0.18120482711548203,>= 0,
NHANES_metabolic_score,regression,pysr,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,pysr,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.1475481110325909,>= 0,
NHANES_metabolic_score,regression,operon,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,operon,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.17995280937005875,>= 0,
NHANES_metabolic_score,regression,lgo,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.15710600736419789,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,metrics_guard_RMSE_ge_MAE,OK,0.1786839258940074,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,metrics_guard_RMSE_ge_MAE,OK,0.15759215298681795,>= 0,
NHANES_metabolic_score,regression,pysr,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,pysr,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.14875349277189476,>= 0,
NHANES_metabolic_score,regression,operon,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,operon,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.15051540710366995,>= 0,
NHANES_metabolic_score,regression,lgo,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.1186859393471763,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,metrics_guard_RMSE_ge_MAE,OK,0.17887615997430018,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,metrics_guard_RMSE_ge_MAE,OK,0.15639332514936516,>= 0,
NHANES_metabolic_score,regression,pysr,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,pysr,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.15007970653025782,>= 0,
NHANES_metabolic_score,regression,operon,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,operon,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.14273045189246558,>= 0,
NHANES_metabolic_score,regression,lgo,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.1553804334999066,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_soft,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_soft,13,0,metrics_guard_RMSE_ge_MAE,OK,0.18327385135686936,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_hard,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_hard,13,0,metrics_guard_RMSE_ge_MAE,OK,0.1830743037445547,>= 0,
NHANES_metabolic_score,regression,pysr,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,pysr,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.15621232207454872,>= 0,
NHANES_metabolic_score,regression,operon,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,operon,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.15395955692698493,>= 0,
NHANES_metabolic_score,regression,lgo,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.14758418364101045,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_soft,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_soft,21,0,metrics_guard_RMSE_ge_MAE,OK,0.1971873726999308,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_hard,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_hard,21,0,metrics_guard_RMSE_ge_MAE,OK,0.1350653807773372,>= 0,
NHANES_metabolic_score,regression,pysr,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,pysr,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.1688685727678656,>= 0,
NHANES_metabolic_score,regression,operon,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,operon,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.14800884664931657,>= 0,
NHANES_metabolic_score,regression,lgo,base,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,base,34,0,metrics_guard_RMSE_ge_MAE,OK,0.15957321885899534,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_soft,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_soft,34,0,metrics_guard_RMSE_ge_MAE,OK,0.2233491204815966,>= 0,
NHANES_metabolic_score,regression,lgo,lgo_hard,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,lgo,lgo_hard,34,0,metrics_guard_RMSE_ge_MAE,OK,0.19098638801282586,>= 0,
NHANES_metabolic_score,regression,pysr,base,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
NHANES_metabolic_score,regression,pysr,base,34,0,metrics_guard_RMSE_ge_MAE,OK,0.16146794810219656,>= 0,
