dataset,method,experiment,rank,expr,complexity,cv_metric,seed
NHANES_metabolic_score,lgo,base,1,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(idF(idF(gender_std)))))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(hdl_cholesterol)), sub(0.4786477755556404, zero)), add(one, one)), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",41.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,2,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(idF(idF(gender_std)))))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(hdl_cholesterol), sub(0.4786477755556404, zero)), add(one, add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",42.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,3,"add(sub(pow(pow(id(idF(waist_circumference)), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(idF(idF(gender_std)))))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(hdl_cholesterol)), sub(0.4786477755556404, zero)), add(one, add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",42.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,4,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(idF(idF(idF(idF(gender_std)))))))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(hdl_cholesterol)), sub(0.4786477755556404, zero)), add(one, add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",42.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,5,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(gender_std)))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(idF(hdl_cholesterol))), sub(0.4786477755556404, zero)), add(one, add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",42.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,6,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(idF(idF(gender_std)))))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(idF(hdl_cholesterol))), sub(0.4786477755556404, zero)), add(one, add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",42.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,7,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(gender_std)))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(hdl_cholesterol)), sub(0.4786477755556404, zero)), add(one, add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",42.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,8,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(idF(idF(gender_std)))))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(hdl_cholesterol)), sub(0.4786477755556404, zero)), add(one, add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(idF(waist_circumference))), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",42.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,9,"add(sub(pow(pow(id(waist_circumference), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(idF(idF(idF(gender_std))))))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(hdl_cholesterol)), sub(0.4786477755556404, zero)), add(one, add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",42.5,0.4790919389890732,1
NHANES_metabolic_score,lgo,base,10,"add(sub(pow(pow(id(idF(idF(waist_circumference))), 0.713811922297944), 0.713811922297944), mul(sub(one, 1.237714111419248), sqrt(id(idF(idF(gender_std)))))), add(add(sqrt(id(triglycerides)), add(sqrt(add(sqrt(sqrt(add(0.4786477755556404, id(fasting_glucose)))), id(systolic_bp))), mul(div(div(id(idF(hdl_cholesterol)), sub(0.4786477755556404, zero)), add(div(one, one), add(one, zero))), log(sub(sqrt(0.713811922297944), log(one)))))), sub(1.237714111419248, log(add(sqrt(id(waist_circumference)), add(one, mul(sub(one, 1.237714111419248), sqrt(id(idF(gender_std))))))))))",44.0,0.4790919389890732,1
