dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
UCI_CTG_NSPbin,lgo,base,1,"sqrt(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, id(NSP))), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(NSP))))))))",32.5,0.0,0.0,1.0,1.0
UCI_CTG_NSPbin,lgo,lgo_soft,1,"lgo_and2(log(log(log(lgo_and3(sub(id(NSP), lgo(one, as_pos(lgo_or2(add(-0.3077310727022708, zero), div(one, zero), as_pos(-1.266411099353902), as_thr(zero))), as_thr(log(zero)))), 0.03034041404612524, sub(id(NSP), one), as_pos(sqrt(mul(1.3469355219933188, 0.28434733123144657))), as_thr(one))))), id(NSP), 8.64946948985811, as_thr(mul(log(gate_expr(pow(log(log(id(idF(VarHist)))), id(idF(idF(idF(ASTV))))), as_pos(lgo_or2(id(idF(NSP)), sub(-1.1522059957155677, -1.6870914128435666), as_pos(sqrt(mul(1.3469355219933188, 0.28434733123144657))), as_thr(0.03034041404612524))), as_thr(mul(-0.20692640111749078, -0.6385576606728005)))), lgo(log(lgo_and3(one, 0.03034041404612524, sub(id(NSP), sqrt(pow(1.0345676003921742, 1.3469355219933188))), as_pos(sub(add(0.03034041404612524, zero), sqrt(one))), as_thr(zero))), as_pos(zero), 0.3781461113975675))))",84.1,7.940017141124608e-06,5.698956653412563e-05,0.9997989339536237,0.9996686029679458
UCI_CTG_NSPbin,lgo,lgo_hard,1,"lgo_thre(div(id(idF(NSP)), zero), as_pos(zero), 0.973069209790147)",4.5,5.908599397985776e-53,5.975725728816206e-53,1.0,1.0
UCI_CTG_NSPbin,pysr,base,1,sqrt((NSP - 1.0)/(NSP - 0.99999994)),6.0,1.3897057725942584e-16,,0.9999999999999991,
UCI_CTG_NSPbin,operon,base,1,(0.999644 + ((-0.000443) * ((((-2.032569) + (-0.048208)) + ((((0.323311 / (0.887919 * NSP)) - (-0.468463)) / ((0.023014 - ((-0.989268) * NSP)) - sqrt((1.176515 * NSP)))) / (0.887919 * NSP))) / ((0.023014 - ((-0.989268) * NSP)) - (0.323311 / (0.317298 * NSP)))))),34.25,6.832899697156574e-07,,0.9999959772320544,
UCI_CTG_NSPbin,lgo,base,2,"sqrt(pow(id(idF(idF(idF(NSP)))), zero))",3.5,0.0,0.0,1.0,1.0
UCI_CTG_NSPbin,lgo,lgo_soft,2,"lgo_and2(log(log(log(lgo_and3(id(NSP), 0.2868820695582486, log(lgo_and3(id(NSP), log(lgo_and3(id(NSP), -0.12422567992073803, -0.12422567992073803, as_pos(zero), 1.0363465526258426)), log(lgo_and3(id(NSP), -0.12422567992073803, -0.12422567992073803, as_pos(1.5657686089004923), 1.6092731543140146)), 0.8353144115339532, 1.2671754063035177)), as_pos(lgo_and3(lgo(sub(1.7008892318318676, zero), 19.260305923732684, as_thr(0.18127034607769055)), -0.12422567992073803, -0.12422567992073803, as_pos(zero), as_thr(0.18127034607769055))), 1.1555698523616638)))), id(NSP), 19.260305923732684, as_thr(lgo_or2(div(zero, pow(gate_expr(sqrt(zero), as_pos(one), 0.977758433596096), sub(one, div(pow(-1.0477114752532115, -2.357102576446854), id(NSP))))), sub(lgo(sqrt(lgo(one, as_pos(1.5657686089004923), as_thr(0.4326187492724686))), as_pos(0.4558626741948112), as_thr(gate_expr(zero, 0.7021582675576471, -1.4049396826041298))), add(gate_expr(-0.08304820041545732, 6.013961339916149, -0.7373098796668929), lgo_and3(id(NSP), id(idF(DL)), lgo_or2(sqrt(gate_expr(-0.08304820041545732, 6.013961339916149, -0.7373098796668929)), mul(-0.8033988187717147, 2.530895707723726), as_pos(1.5657686089004923), as_thr(zero)), as_pos(lgo_or2(id(MeanHist), add(one, zero), as_pos(zero), as_thr(lgo_and3(one, one, one, 3.269333268684338, -0.13274509157411965)))), 0.8503461730811931))), as_pos(lgo_and3(log(lgo_and3(id(NSP), sqrt(lgo(one, as_pos(zero), as_thr(0.4507467884379166))), -0.12422567992073803, as_pos(one), 1.3856794886676345)), gate_expr(1.932112934278897, as_pos(lgo_or2(-0.854732337531937, zero, 9.956606630540696, 1.2541396326338927)), 1.1425586512559402), div(zero, lgo(div(zero, one), 0.16925279165871285, as_thr(one))), 0.7021582675576471, as_thr(zero))), -1.7849388998166498)))",118.39999999999999,0.0005503880772502929,0.00046855916801776177,0.9962688898568125,0.9972753062171498
UCI_CTG_NSPbin,lgo,lgo_hard,2,"lgo_thre(div(id(idF(NSP)), zero), 1.6870999646439444, 0.973069209790147)",3.5,6.043910834580869e-53,5.975725728816206e-53,1.0,1.0
UCI_CTG_NSPbin,pysr,base,2,(NSP - NSP/NSP)/(NSP - 1*0.99999994),7.0,5.638234680531044e-16,,0.9999999999999968,
UCI_CTG_NSPbin,operon,base,2,(1.000133 + (0.179871 * ((0.323311 / (1.772454 * NSP)) * ((((((3.141593 / (0.887919 * NSP)) / (1.196607 * NSP)) / (0.887919 * NSP)) / (1.196607 * NSP)) + (-0.132297)) * (((((0.323311 / (0.887919 * NSP)) / ((-0.033562) * NSP)) / (1.196607 * NSP)) / (0.887919 * NSP)) / (0.887919 * NSP)))))),36.5,4.445775701596789e-09,,0.999999973171486,
