dataset,task,method,experiment,seed,split,metric,value
UCI_CTG_NSPbin,binary_classification,lgo,base,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,1,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,0,AUPRC,0.9999999999999999
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,0,Brier,0.2129845639825442
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,1,0,Brier,0.21079570924759766
UCI_CTG_NSPbin,binary_classification,operon,base,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,1,0,Brier,0.2109789748159704
UCI_CTG_NSPbin,binary_classification,lgo,base,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,2,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,0,AUPRC,0.9999999999999999
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,0,Brier,0.217785330606712
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,pysr,base,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,2,0,Brier,0.2107957098173297
UCI_CTG_NSPbin,binary_classification,operon,base,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,2,0,Brier,0.2107972585195326
UCI_CTG_NSPbin,binary_classification,lgo,base,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,3,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,0,AUPRC,0.9999999999999999
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,0,Brier,0.20971908615351148
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,pysr,base,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,3,0,Brier,0.21079570392343716
UCI_CTG_NSPbin,binary_classification,operon,base,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,3,0,Brier,0.21079639410711762
UCI_CTG_NSPbin,binary_classification,lgo,base,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,5,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,0,Brier,0.21226198136371655
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,5,0,Brier,0.21079570771093467
UCI_CTG_NSPbin,binary_classification,operon,base,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,5,0,Brier,0.21079751793449703
UCI_CTG_NSPbin,binary_classification,lgo,base,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,8,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,0,Brier,0.21079522683634197
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,8,0,Brier,0.2107957097875398
UCI_CTG_NSPbin,binary_classification,operon,base,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,8,0,Brier,0.21079712175773221
UCI_CTG_NSPbin,binary_classification,lgo,base,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,13,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,0,Brier,0.21124997707093332
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,pysr,base,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,13,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,operon,base,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,13,0,Brier,0.21079657270159802
UCI_CTG_NSPbin,binary_classification,lgo,base,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,21,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,21,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,21,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,21,0,Brier,0.21079557580881586
UCI_CTG_NSPbin,binary_classification,operon,base,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,21,0,Brier,0.21077827983143405
UCI_CTG_NSPbin,binary_classification,lgo,base,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,34,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,34,0,Brier,0.21079570834271752
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,34,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,pysr,base,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,34,0,Brier,0.21079571043130274
UCI_CTG_NSPbin,binary_classification,operon,base,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,34,0,Brier,0.21079668073616198
UCI_CTG_NSPbin,binary_classification,lgo,base,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,55,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,55,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,55,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,55,0,Brier,0.2107957077171409
UCI_CTG_NSPbin,binary_classification,operon,base,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,55,0,Brier,0.2107971303031267
UCI_CTG_NSPbin,binary_classification,lgo,base,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,89,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,89,0,Brier,0.21047767833004485
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,89,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,89,0,Brier,0.2107957154513883
UCI_CTG_NSPbin,binary_classification,operon,base,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,89,0,Brier,0.2107978727564163
UCI_CTG_NSPbin,binary_classification,pstree,base,1,0,AUROC,0.7587157139195078
UCI_CTG_NSPbin,binary_classification,pstree,base,1,0,AUPRC,0.5125413694012939
UCI_CTG_NSPbin,binary_classification,pstree,base,1,0,Brier,0.40516481853539893
UCI_CTG_NSPbin,binary_classification,pstree,base,2,0,AUROC,0.7559760317867213
UCI_CTG_NSPbin,binary_classification,pstree,base,2,0,AUPRC,0.5198185013452158
UCI_CTG_NSPbin,binary_classification,pstree,base,2,0,Brier,0.38842649751962144
UCI_CTG_NSPbin,binary_classification,pstree,base,3,0,AUROC,0.7897173801589337
UCI_CTG_NSPbin,binary_classification,pstree,base,3,0,AUPRC,0.5758686143284535
UCI_CTG_NSPbin,binary_classification,pstree,base,3,0,Brier,0.38554613420791223
UCI_CTG_NSPbin,binary_classification,pstree,base,5,0,AUROC,0.7506568828505511
UCI_CTG_NSPbin,binary_classification,pstree,base,5,0,AUPRC,0.4727273520342098
UCI_CTG_NSPbin,binary_classification,pstree,base,5,0,Brier,0.3977604558957131
UCI_CTG_NSPbin,binary_classification,pstree,base,8,0,AUROC,0.7743687516021533
UCI_CTG_NSPbin,binary_classification,pstree,base,8,0,AUPRC,0.5499316470961082
UCI_CTG_NSPbin,binary_classification,pstree,base,8,0,Brier,0.35137523918103786
UCI_CTG_NSPbin,binary_classification,rils_rols,base,1,0,AUROC,0.5079146372724943
UCI_CTG_NSPbin,binary_classification,rils_rols,base,1,0,AUPRC,0.2167825529124695
UCI_CTG_NSPbin,binary_classification,rils_rols,base,1,0,Brier,0.28108571885850614
UCI_CTG_NSPbin,binary_classification,rils_rols,base,2,0,AUROC,0.7491508587541656
UCI_CTG_NSPbin,binary_classification,rils_rols,base,2,0,AUPRC,0.5014024275478774
UCI_CTG_NSPbin,binary_classification,rils_rols,base,2,0,Brier,0.34769563402227305
UCI_CTG_NSPbin,binary_classification,rils_rols,base,3,0,AUROC,0.5
UCI_CTG_NSPbin,binary_classification,rils_rols,base,3,0,AUPRC,0.22065727699530516
UCI_CTG_NSPbin,binary_classification,rils_rols,base,3,0,Brier,0.4217141106200339
UCI_CTG_NSPbin,binary_classification,rils_rols,base,5,0,AUROC,0.5691809792360933
UCI_CTG_NSPbin,binary_classification,rils_rols,base,5,0,AUPRC,0.2890371540172737
UCI_CTG_NSPbin,binary_classification,rils_rols,base,5,0,Brier,0.31636059774428477
UCI_CTG_NSPbin,binary_classification,rils_rols,base,8,0,AUROC,0.5
UCI_CTG_NSPbin,binary_classification,rils_rols,base,8,0,AUPRC,0.22065727699530516
UCI_CTG_NSPbin,binary_classification,rils_rols,base,8,0,Brier,0.7793427230046949
UCI_CTG_NSPbin,binary_classification,rils_rols,base,13,0,AUROC,0.4956741861061266
UCI_CTG_NSPbin,binary_classification,rils_rols,base,13,0,AUPRC,0.3738459801357812
UCI_CTG_NSPbin,binary_classification,rils_rols,base,13,0,Brier,0.22063628943303643
UCI_CTG_NSPbin,binary_classification,rils_rols,base,21,0,AUROC,0.19501409894898744
UCI_CTG_NSPbin,binary_classification,rils_rols,base,21,0,AUPRC,0.15104749539225357
