dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_CTG_NSPbin,lgo,base,1,"sqrt(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, id(NSP))), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(NSP))))))))",32.5,0.0,1
UCI_CTG_NSPbin,lgo,base,2,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(NSP))))))), zero))",33.5,0.0,1
UCI_CTG_NSPbin,lgo,base,3,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(zero, div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(div(id(MeanHist), add(-0.2617674388651717, zero)), sub(pow(-0.3612609309754832, -0.8279875762232879), mul(zero, one))), id(Nmax))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(NSP))))))), zero))",34.0,0.0,1
UCI_CTG_NSPbin,lgo,base,4,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(zero, div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(idF(NSP)))))))), sqrt(log(zero))))",35.0,0.0,1
UCI_CTG_NSPbin,lgo,base,5,"sqrt(add(pow(id(idF(idF(NSP))), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, one), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(zero)), id(idF(VarHist))))))), sqrt(zero)))",35.0,0.0,1
UCI_CTG_NSPbin,lgo,base,6,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(NSP)))))), sqrt(add(-1.1955690888362105, -0.8442171114507365))))",36.0,0.0,1
UCI_CTG_NSPbin,lgo,base,7,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(mul(1.2176670903579965, zero), one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(id(NSP), -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(idF(NSP)))))))), sqrt(div(mul(0.6206056824421785, one), pow(-0.369742834069684, -0.7711767450708304)))))",40.5,0.0,1
UCI_CTG_NSPbin,lgo,base,8,"sqrt(add(pow(id(idF(NSP)), pow(zero, -0.5319981185711344)), pow(mul(mul(div(sqrt(zero), div(zero, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915))), -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(NSP)))))))",41.5,0.0,1
UCI_CTG_NSPbin,lgo,base,9,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(VarHist))))))), sqrt(sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(-1.1955690888362105, -0.8442171114507365)))))))",59.5,0.0,1
UCI_CTG_NSPbin,lgo,base,10,"sqrt(add(pow(id(idF(NSP)), sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), 0.2865697884972181), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(-0.8470420589581026)), id(idF(VarHist))))))), sqrt(sqrt(pow(mul(mul(div(sqrt(zero), div(one, one)), pow(sub(one, zero), div(1.1726450579509076, zero))), div(div(add(-1.1955690888362105, -0.8442171114507365), add(-0.4070146956138785, zero)), div(id(DP), add(0.2865697884972181, -0.27049748103722915)))), sqrt(add(sub(pow(-0.9521704528810523, zero), log(zero)), id(idF(NSP)))))))))",59.5,0.0,1
