dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
UCI_Heart_Cleveland_num,lgo,base,100,55.5,47.75,73.0,63.51,27.531614518218834,0.0,0.0,0.0,10.0
UCI_Heart_Cleveland_num,lgo,lgo_hard,100,56.0,51.75,84.0,61.08,19.99529237524966,0.5,0.0,1.0,10.0
UCI_Heart_Cleveland_num,lgo,lgo_soft,100,78.5,70.0,166.0,111.66,53.55073493539758,10.0,6.0,16.25,10.0
UCI_Heart_Cleveland_num,lgo_base,base,100,55.5,47.75,73.0,63.51,27.531614518218834,0.0,0.0,0.0,10.0
UCI_Heart_Cleveland_num,lgo_lgo_hard,lgo_hard,100,56.0,51.75,84.0,61.08,19.99529237524966,0.5,0.0,1.0,10.0
UCI_Heart_Cleveland_num,lgo_lgo_soft,lgo_soft,100,78.5,70.0,166.0,111.66,53.55073493539758,10.0,6.0,16.25,10.0
UCI_Heart_Cleveland_num,operon,base,10,31.0,27.25,32.0,29.7,2.907843798341919,0.0,0.0,0.0,10.5
UCI_Heart_Cleveland_num,operon_base,base,10,31.0,27.25,32.0,29.7,2.907843798341919,0.0,0.0,0.0,10.5
UCI_Heart_Cleveland_num,pstree,pstree,10,1.0,1.0,2.5,1.8,1.3984117975602022,0.0,0.0,0.0,0.0
UCI_Heart_Cleveland_num,pstree_base,pstree,10,1.0,1.0,2.5,1.8,1.3984117975602022,0.0,0.0,0.0,0.0
UCI_Heart_Cleveland_num,pysr,base,100,7.0,5.0,9.0,6.97,2.3887573372282116,0.0,0.0,0.0,1.0
UCI_Heart_Cleveland_num,pysr_base,base,100,7.0,5.0,9.0,6.97,2.3887573372282116,0.0,0.0,0.0,1.0
UCI_Heart_Cleveland_num,rils_rols,rils_rols,10,26.5,24.0,27.0,25.8,1.9321835661585915,0.0,0.0,0.0,3.5
UCI_Heart_Cleveland_num,rils_rols_base,rils_rols,10,26.5,24.0,27.0,25.8,1.9321835661585915,0.0,0.0,0.0,3.5
