dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
UCI_Heart_Cleveland_num,lgo,base,1,"sqrt(add(add(add(id(idF(idF(ca))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(cp)), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(idF(ca))))))), id(idF(ca)))))",31.0,0.5293966230612521,1.0151457416363632,0.6406972927514321,0.3191497287979622
UCI_Heart_Cleveland_num,lgo,lgo_soft,1,"lgo_or2(id(idF(idF(idF(idF(thal))))), sub(lgo_or2(sqrt(id(cp)), sqrt(add(gate_expr(id(idF(ca)), as_pos(sub(1.374207282795808, 0.029136594407467017)), -3.0269431357065266), pow(id(slope), mul(0.559883857378044, pow(id(idF(thal)), mul(-0.9147727476137697, one)))))), as_pos(sub(0.559883857378044, lgo_or2(sub(div(log(zero), log(one)), sqrt(pow(one, one))), one, as_pos(one), -0.9843901709286802))), 0.4827691560199552), gate_expr(-0.5936050176875782, as_pos(lgo_or2(sub(div(log(zero), log(one)), sqrt(-0.9147727476137697)), log(lgo_and3(lgo_and2(zero, lgo_or2(0.5829301256737467, -0.1294625515062264, as_pos(one), as_thr(-1.0797858271788485)), as_pos(-0.2039016205493988), 0.6951755886803636), -0.08384523657423462, zero, 326.2391185412445, as_thr(one))), as_pos(add(-1.0797858271788485, -1.245022097911216)), as_thr(one))), -0.3354079522272072)), as_pos(gate_expr(pow(one, one), as_pos(0.054067910100848084), as_thr(-0.09400754116690578))), as_thr(lgo_or2(one, sub(lgo(pow(add(add(log(one), pow(0.3670682860188499, zero)), id(idF(fbs))), lgo_and2(pow(log(0.20073885147242784), sqrt(-1.770543484224804)), add(id(thalach), mul(one, one)), as_pos(sqrt(zero)), as_thr(-0.09400754116690578))), as_pos(div(id(idF(oldpeak)), add(add(0.7823385954278046, one), lgo_and2(one, one, 13.834158785131159, -2.1720758348557534)))), as_thr(pow(sub(log(zero), gate_expr(-1.0755006696278668, 14.458688686288683, 1.2647360507708967)), div(add(one, zero), log(one))))), id(idF(idF(thal)))), as_pos(one), -2.0056527343910346)))",132.5,0.613784958332874,1.0715249533094815,0.5302645035009732,0.28133663459542557
UCI_Heart_Cleveland_num,lgo,lgo_hard,1,"sqrt(add(add(div(lgo_thre(add(lgo_thre(id(thal), 0.8073133716997898, -1.1990325337293608), mul(pow(log(zero), mul(one, id(oldpeak))), pow(id(ca), sub(sub(0.88148206940918, one), id(ca))))), 0.7939254714495618, as_thr(zero)), id(cp)), mul(lgo_thre(log(sqrt(div(sqrt(add(one, zero)), sub(sub(0.88148206940918, one), id(oldpeak))))), as_pos(pow(lgo_thre(id(idF(ca)), 0.8002135970169661, as_thr(zero)), log(sqrt(zero)))), 0.3229804970643538), id(exang))), add(add(add(sqrt(sqrt(sqrt(sqrt(id(slope))))), add(add(id(cp), id(ca)), pow(mul(one, id(ca)), zero))), id(slope)), id(thal))))",58.5,0.5491263854519639,1.0971476930963524,0.6262099721337759,0.2641516643814842
UCI_Heart_Cleveland_num,pysr,base,1,cp*(slope + 0.46327713)*(0.19623086*sqrt(ca + exang + 0.39349565*thal) - 0.19421072),13.0,0.6182452564429352,,0.5579248768661764,
UCI_Heart_Cleveland_num,operon,base,1,((-0.659526) + (1.111322 * sqrt(((((((-0.951944) * thal) + sqrt((((0.300595 * slope) + ((-0.636762) * cp)) + (0.026026 * thalach)))) + (((-1.213076) * ca) * sqrt((1.578809 - ((-1.686755) * restecg))))) / sqrt(((-0.055317) + (0.026026 * thalach)))) * ((0.300595 * slope) * ((-0.636762) * cp)))))),40.75,0.6343788893607708,,0.5729547319947705,
UCI_Heart_Cleveland_num,lgo,base,2,"add(sqrt(add(add(pow(pow(id(idF(idF(idF(ca)))), id(chol)), sqrt(sub(id(exang), id(thal)))), id(oldpeak)), add(add(sqrt(add(add(id(idF(fbs)), id(oldpeak)), add(sub(id(slope), 0.8990789993267839), id(thal)))), id(idF(idF(idF(cp))))), sqrt(id(idF(thal)))))), 0.039112807828269626)",20.0,0.5371079380297281,1.0502014668276716,0.6102721631021752,0.4390181369414635
UCI_Heart_Cleveland_num,lgo,lgo_soft,2,"sqrt(add(id(ca), add(add(id(idF(slope)), lgo(lgo(add(id(oldpeak), id(thal)), 2.8691311618825504, 0.5568889220895291), 1.2442386812805006, -2.4079990287639594)), add(div(lgo(sub(lgo_and3(id(restecg), gate_expr(1.4772931950881782, 1.2442386812805006, -0.13856173610373082), id(oldpeak), 1.2442386812805006, 0.354583431144425), sub(lgo_and2(id(restecg), -0.06483385825134526, as_pos(zero), -0.12610675701369922), sqrt(id(restecg)))), as_pos(id(idF(thal))), as_thr(mul(-0.06483385825134526, one))), add(add(div(id(idF(ca)), pow(1.5603945797960763, one)), id(thal)), id(cp))), id(cp)))))",37.8,0.5481409952522007,0.9970327614455823,0.6075847047242868,0.46741904890338626
UCI_Heart_Cleveland_num,lgo,lgo_hard,2,"sqrt(add(add(sqrt(sqrt(sqrt(log(id(idF(exang)))))), id(idF(oldpeak))), add(add(sqrt(add(id(idF(idF(idF(thal)))), id(idF(idF(idF(slope)))))), id(ca)), id(cp))))",14.0,0.6298086667059337,0.9151167513974156,0.5601919447274797,0.5111757921404274
UCI_Heart_Cleveland_num,pysr,base,2,cp*(restecg*0.03399631 + thal*0.045038838 + (ca + exang + oldpeak)*0.082692064 - 1*0.15375504),14.25,0.6170039793451813,,0.5416760979345215,
UCI_Heart_Cleveland_num,operon,base,2,((-1.501098) + ((-0.507404) * (sqrt(sqrt(sqrt((0.204761 * oldpeak)))) + ((((0.300595 * slope) * ((-0.636762) * cp)) + (((0.026096 * sqrt((1.320347 * restecg))) / ((-0.636762) * cp)) - sqrt(((0.434294 * ca) * 2.718282)))) - (((sqrt((0.707107 * cp)) * (0.411703 * oldpeak)) + sqrt((1.992879 * thal))) + (0.318310 * exang)))))),45.0,0.585719410284331,,0.5547059556053267,
