dataset,task,method,experiment,seed,split,metric,value
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,RMSE,1.0075444117439007
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,MAE,0.5652953012072504
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,R2,0.3191497287979622
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,RMSE,1.1551728026015056
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,MAE,0.7062849732592122
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,R2,0.1050121732874777
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,RMSE,1.0078759285424117
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,MAE,0.5285614820935954
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,R2,0.31870160872848163
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,RMSE,0.9339896173043185
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,MAE,0.5684374439432849
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,R2,0.4149306942917691
UCI_Heart_Cleveland_num,regression,operon,base,1,0,RMSE,0.9305174421608953
UCI_Heart_Cleveland_num,regression,operon,base,1,0,MAE,0.5434953647127377
UCI_Heart_Cleveland_num,regression,operon,base,1,0,R2,0.4192726848366256
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,RMSE,1.0247933776267641
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,MAE,0.6870260944975046
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,R2,0.4390181369414635
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,RMSE,0.9695223631640824
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,MAE,0.5901753609720796
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,R2,0.49789810324940176
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,RMSE,0.9566173484719036
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,MAE,0.6132629644690977
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,R2,0.5111757921404274
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,RMSE,0.9862624370668165
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,MAE,0.7005635930754098
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,R2,0.4804095196475223
UCI_Heart_Cleveland_num,regression,operon,base,2,0,RMSE,0.9584697088210157
UCI_Heart_Cleveland_num,regression,operon,base,2,0,MAE,0.6640404128507669
UCI_Heart_Cleveland_num,regression,operon,base,2,0,R2,0.509280875117885
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,RMSE,0.759448384735461
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,MAE,0.48049488886779895
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,R2,0.5392591583476521
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,0,RMSE,0.7716449355831804
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,0,MAE,0.4869819176440634
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,0,R2,0.5243415610776803
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,0,RMSE,0.6817666518884316
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,0,MAE,0.42457060963804577
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,0,R2,0.6286942332888216
UCI_Heart_Cleveland_num,regression,pysr,base,3,0,RMSE,0.7283202185285627
UCI_Heart_Cleveland_num,regression,pysr,base,3,0,MAE,0.5356374383522203
UCI_Heart_Cleveland_num,regression,pysr,base,3,0,R2,0.5762546762967384
UCI_Heart_Cleveland_num,regression,operon,base,3,0,RMSE,0.6772766449364692
UCI_Heart_Cleveland_num,regression,operon,base,3,0,MAE,0.46064183430543626
UCI_Heart_Cleveland_num,regression,operon,base,3,0,R2,0.6335688502142582
UCI_Heart_Cleveland_num,regression,lgo,base,5,0,RMSE,0.8635767246484232
UCI_Heart_Cleveland_num,regression,lgo,base,5,0,MAE,0.5847216278187716
UCI_Heart_Cleveland_num,regression,lgo,base,5,0,R2,0.5086772893841909
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,0,RMSE,0.8585230044404955
