dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.4422491105366504,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,metrics_guard_RMSE_ge_MAE,OK,0.4488878293422933,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,metrics_guard_RMSE_ge_MAE,OK,0.47931444644881627,>= 0,
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.3655521733610336,>= 0,
UCI_Heart_Cleveland_num,regression,operon,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,operon,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.38702207744815753,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.3377672831292595,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,metrics_guard_RMSE_ge_MAE,OK,0.3793470021920028,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,metrics_guard_RMSE_ge_MAE,OK,0.34335438400280593,>= 0,
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.28569884399140666,>= 0,
UCI_Heart_Cleveland_num,regression,operon,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,operon,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.2944292959702488,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.278953495867662,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,0,metrics_guard_RMSE_ge_MAE,OK,0.28466301793911697,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,0,metrics_guard_RMSE_ge_MAE,OK,0.2571960422503858,>= 0,
UCI_Heart_Cleveland_num,regression,pysr,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,pysr,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.19268278017634233,>= 0,
UCI_Heart_Cleveland_num,regression,operon,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,operon,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.21663481063103296,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.2788550968296516,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,0,metrics_guard_RMSE_ge_MAE,OK,0.29362131879273246,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,5,0,metrics_guard_RMSE_ge_MAE,OK,0.24797597137306548,>= 0,
UCI_Heart_Cleveland_num,regression,pysr,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,pysr,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.2957472718628017,>= 0,
