dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_Heart_Cleveland_numc,lgo,base,1,"sqrt(add(add(add(id(idF(idF(ca))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(cp)), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(idF(ca))))))), id(idF(ca)))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,2,"sqrt(add(add(add(id(idF(idF(idF(idF(ca))))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(idF(cp))), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(ca)))))), id(idF(ca)))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,3,"sqrt(add(add(add(id(idF(idF(idF(idF(ca))))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(cp), log(id(oldpeak))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(idF(ca))))))), id(idF(ca)))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,4,"sqrt(add(add(add(id(idF(idF(ca))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(slope)), add(sub(add(pow(id(idF(idF(cp))), log(id(oldpeak))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(idF(ca))))))), id(idF(ca)))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,5,"sqrt(add(add(add(id(idF(idF(idF(ca)))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(idF(cp))), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(idF(idF(ca)))), log(id(idF(idF(idF(ca))))))), id(idF(ca)))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,6,"sqrt(add(add(add(id(idF(idF(idF(ca)))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(idF(cp))), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(idF(ca))))))), id(idF(ca)))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,7,"sqrt(add(add(add(id(idF(idF(idF(idF(ca))))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(idF(cp))), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(idF(ca))))))), id(ca))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,8,"sqrt(add(add(add(id(idF(idF(ca))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(idF(cp))), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(idF(ca))))))), id(idF(ca)))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,9,"sqrt(add(add(add(id(idF(idF(idF(idF(ca))))), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(idF(cp))), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(ca))))), id(idF(ca)))))",31.0,0.5293966230612521,1
UCI_Heart_Cleveland_numc,lgo,base,10,"sqrt(add(add(add(id(ca), add(add(id(thal), id(idF(oldpeak))), sub(mul(pow(id(cp), mul(sub(1.4907741439706073, zero), id(slope))), sub(-0.9573444551718082, -1.1256193994693273)), log(add(add(id(sex), id(slope)), pow(div(-0.272027688174671, one), one)))))), id(idF(slope))), add(sub(add(pow(id(idF(idF(cp))), log(id(idF(idF(oldpeak))))), sqrt(id(ca))), add(id(idF(ca)), log(id(idF(idF(idF(ca))))))), id(idF(ca)))))",31.0,0.5293966230612521,1
