dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
UCI_HydraulicSys_fault_score,lgo,base,1,0,"sub(sqrt(log(mul(one, sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(PS4_max), id(PS3_std)), one)), sub(log(one), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(sub(id(PS1_std), id(PS3_std))), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",49,10,320,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,1,"sub(sqrt(log(mul(pow(one, zero), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(PS4_max), id(PS3_std)), one)), sub(log(one), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(sub(id(PS1_std), id(PS3_std))), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",51,10,331,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,2,"sub(sqrt(log(mul(pow(one, zero), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(CP_mean), id(PS3_std)), one)), sub(sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max)), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(sub(id(PS1_std), id(PS3_std))), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",57,10,370,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,3,"sub(sqrt(log(mul(pow(id(CP_mean), zero), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(CP_mean), id(PS3_std)), one)), sub(sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max)), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(pow(log(id(PS3_std)), zero)), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",58,10,376,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,4,"sub(sqrt(log(mul(pow(one, one), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(CP_mean), id(PS3_std)), one)), sub(sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max)), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(pow(log(id(PS3_std)), zero)), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",57,10,367,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,5,"sub(sqrt(log(mul(pow(0.3109501376993082, zero), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(CP_mean), id(PS3_std)), one)), sub(sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max)), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(pow(log(id(PS3_std)), zero)), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",57,10,383,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,6,"sub(sqrt(log(mul(pow(sub(1.0728263349594334, zero), zero), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(CP_mean), id(PS3_std)), one)), sub(sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max)), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(pow(log(id(PS3_std)), zero)), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",59,10,394,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,7,"sub(sqrt(log(mul(pow(log(1.0807687576409613), zero), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(CP_mean), id(PS3_std)), one)), sub(sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max)), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(pow(log(id(PS3_std)), zero)), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",58,10,388,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,8,"sub(sqrt(log(mul(pow(log(id(PS3_std)), zero), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(CP_mean), id(PS3_std)), one)), sub(sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max)), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(pow(log(id(PS3_std)), zero)), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",59,10,381,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,9,"sub(sqrt(log(mul(pow(log(id(idF(idF(PS3_max)))), zero), sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(CP_mean), id(PS3_std)), one)), sub(sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max)), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(pow(log(id(PS3_std)), zero)), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",61,10,391,0,0,0,0,0,0
