dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
UCI_HydraulicSys_fault_score,lgo,base,100,65.5,52.75,80.25,67.99,18.43826445085318,0.0,0.0,0.0,10.0
UCI_HydraulicSys_fault_score,lgo,lgo_hard,100,58.0,43.75,81.0,65.49,31.224664881623585,3.0,3.0,5.0,10.0
UCI_HydraulicSys_fault_score,lgo,lgo_soft,100,92.5,74.0,133.0,108.65,48.14590094470949,13.0,9.0,20.0,10.0
UCI_HydraulicSys_fault_score,lgo_base,base,100,65.5,52.75,80.25,67.99,18.43826445085318,0.0,0.0,0.0,10.0
UCI_HydraulicSys_fault_score,lgo_lgo_hard,lgo_hard,100,58.0,43.75,81.0,65.49,31.224664881623585,3.0,3.0,5.0,10.0
UCI_HydraulicSys_fault_score,lgo_lgo_soft,lgo_soft,100,92.5,74.0,133.0,108.65,48.14590094470949,13.0,9.0,20.0,10.0
UCI_HydraulicSys_fault_score,operon,base,10,29.0,26.0,30.0,28.1,2.601281735350223,0.0,0.0,0.0,10.0
UCI_HydraulicSys_fault_score,operon_base,base,10,29.0,26.0,30.0,28.1,2.601281735350223,0.0,0.0,0.0,10.0
UCI_HydraulicSys_fault_score,pstree,pstree,10,5.0,3.0,6.0,4.8,2.3475755815545343,0.0,0.0,0.0,2.0
UCI_HydraulicSys_fault_score,pstree_base,pstree,10,5.0,3.0,6.0,4.8,2.3475755815545343,0.0,0.0,0.0,2.0
UCI_HydraulicSys_fault_score,pysr,base,99,5.0,3.0,7.0,4.9393939393939394,2.3335100206979154,0.0,0.0,0.0,1.0
UCI_HydraulicSys_fault_score,pysr_base,base,99,5.0,3.0,7.0,4.9393939393939394,2.3335100206979154,0.0,0.0,0.0,1.0
UCI_HydraulicSys_fault_score,rils_rols,rils_rols,10,22.0,21.25,22.75,22.0,0.8164965809277255,0.0,0.0,0.0,1.0
UCI_HydraulicSys_fault_score,rils_rols_base,rils_rols,10,22.0,21.25,22.75,22.0,0.8164965809277255,0.0,0.0,0.0,1.0
