dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
UCI_HydraulicSys_fault_score,lgo,base,1,"sub(sqrt(log(mul(one, sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(PS4_max), id(PS3_std)), one)), sub(log(one), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(sub(id(PS1_std), id(PS3_std))), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))",27.5,0.007068805105296972,0.0074301301570240405,0.7446333850824104,0.7435472816781437
UCI_HydraulicSys_fault_score,lgo,lgo_soft,1,"gate_expr(sqrt(lgo_or2(lgo_and3(one, one, mul(id(PS1_std), sqrt(mul(one, add(lgo_and3(gate_expr(2.651102146187408, 0.20259339019922878, 1.7020587794678643), lgo(1.549677441647651, 3.895366839764299, -0.08100040981875711), gate_expr(one, 0.2580336532628614, 1.424599958257576), as_pos(1.1956946474184595), as_thr(0.6819652827478757)), sub(lgo(zero, 1.8133344629888575, 2.549106740825814), mul(zero, one)))))), 0.3682131542009866, as_thr(-3.657708142687333)), lgo(one, 0.24065032891314067, as_thr(sqrt(lgo_and3(pow(-0.6944996859827506, 0.06258307330692695), mul(0.7338642160464689, zero), lgo_and2(zero, lgo_or2(one, -0.48580973198810445, as_pos(one), as_thr(-3.657708142687333)), 0.21093382106482772, -0.49455129681538934), as_pos(-0.007611697355316492), as_thr(one))))), as_pos(log(zero)), as_thr(lgo(lgo_and3(gate_expr(pow(-2.139045341963774, add(one, -1.2986558684238085)), as_pos(zero), 0.883062697347527), one, mul(id(idF(PS1_std)), sqrt(lgo(one, 7.64104293620344, 0.37167321422860533))), as_pos(zero), as_thr(sqrt(sub(lgo_and2(zero, one, 0.22325241864431222, 0.5431701543621984), zero)))), 0.16831818555896955, as_thr(-3.657708142687333))))), as_pos(gate_expr(div(one, -0.48580973198810445), 0.3682131542009866, as_thr(lgo(lgo_and3(gate_expr(pow(-2.139045341963774, add(one, -1.2986558684238085)), as_pos(zero), -0.6260081066194246), one, mul(id(idF(idF(PS1_std))), sqrt(lgo(one, 7.64104293620344, -0.2820398263960256))), 9.434710196412366, as_thr(sqrt(sub(lgo_and2(zero, one, 0.22325241864431222, -0.3746722826606713), zero)))), 0.16831818555896955, as_thr(-3.657708142687333))))), as_thr(gate_expr(sub(lgo_or2(0.060178740655662505, zero, 7.64104293620344, as_thr(one)), one), as_pos(pow(-0.5602854498028743, zero)), as_thr(sub(one, one)))))",128.2,0.01835050374670167,0.021730516705101427,0.32661232496725157,0.24996602188812267
UCI_HydraulicSys_fault_score,lgo,lgo_hard,1,"lgo_thre(add(add(add(lgo_thre(add(div(log(log(id(FS2_mean))), sqrt(sqrt(id(PS3_skew)))), log(log(one))), 4.640979630659886, 1.3569151853805268), sub(log(id(idF(SE_std))), mul(sqrt(pow(lgo_thre(id(FS2_mean), 2.044367237893371, as_thr(-0.6885794158460392)), sub(zero, one))), pow(pow(log(zero), lgo_thre(zero, 1.9617477036382804, 1.3569151853805268)), mul(log(id(VS1_mean)), -2.025786277917184))))), -2.025786277917184), id(idF(VS1_mean))), 0.260191833719881, 0.49168317236061904)",40.5,0.008773204864536343,0.010186978564689239,0.683995674116592,0.6483939999447597
UCI_HydraulicSys_fault_score,pysr,base,1,CP_mean*(1.7512482 - PS3_mean) + PS3_skew*(-0.31197146) - 1*(-0.59620285),10.5,0.006381698615596213,,0.7579665642593449,
UCI_HydraulicSys_fault_score,operon,base,1,(1.693825 + (0.011457 * ((((((-0.954748) * PS3_std) + (1.030105 * PS3_skew)) + (((-1.301878) * PS3_mean) * ((-1.301878) * PS3_mean))) * ((((-1.301878) * PS3_mean) * ((-0.704091) * FS1_std)) + (((1.030105 * PS3_skew) + ((((-0.954748) * PS3_std) + (1.030105 * PS3_skew)) + (((-0.954748) * PS3_std) * (1.030105 * PS3_skew)))) + (((-1.301878) * PS3_mean) * ((-1.301878) * PS3_mean))))) * ((-0.763151) * FS1_std)))),45.0,0.0038210424962695565,,0.8451920050892239,
UCI_HydraulicSys_fault_score,lgo,base,2,"add(pow(div(id(idF(idF(idF(SE_mean)))), log(mul(zero, id(idF(idF(idF(PS3_std))))))), log(add(2.0494383439724833, mul(0.2384716859229383, pow(sub(-1.0569924840551488, 0.2384716859229383), id(idF(idF(idF(PS1_iqr))))))))), add(mul(add(mul(pow(div(sub(log(id(SE_mean)), 0.2384716859229383), log(mul(zero, 0.6482475282517767))), add(sqrt(id(idF(PS3_skew))), sqrt(id(idF(PS3_skew))))), pow(div(sub(log(id(SE_mean)), 0.2384716859229383), log(mul(zero, 0.6482475282517767))), add(sqrt(id(idF(PS3_std))), 0.2384716859229383))), sqrt(sub(-0.2777374422650209, -0.40822086205828206))), pow(div(id(idF(PS3_std)), log(mul(zero, mul(0.2384716859229383, log(id(SE_mean)))))), add(mul(mul(0.2384716859229383, log(sqrt(sub(-0.2777374422650209, -0.40822086205828206)))), log(id(PS3_std))), 0.39689030234744993))), 0.39689030234744993))",61.5,0.006508095202409747,0.00527833417569541,0.769948844139741,0.8176177350103279
UCI_HydraulicSys_fault_score,lgo,lgo_soft,2,"gate_expr(sqrt(lgo_or2(lgo_and3(pow(mul(lgo_or2(add(one, -0.5933719211717976), id(idF(EPS1_q75)), as_pos(one), as_thr(zero)), id(PS1_mean)), pow(mul(gate_expr(id(EPS1_q75), 0.363168591333072, -0.7357459092950293), log(-1.1186600339263808)), add(id(EPS1_q75), one))), one, id(idF(PS1_std)), 0.1651973697229172, -1.237403840522384), lgo(pow(0.7891732587926933, gate_expr(lgo(pow(id(EPS1_q75), -0.5933719211717976), 0.363168591333072, as_thr(pow(gate_expr(zero, 1.705054565008337, 0.07880282364290145), lgo_and3(one, -0.8954815713322988, zero, 3.605779302835711, 0.07880282364290145)))), 3.605779302835711, -1.237403840522384)), as_pos(0.962116269032149), as_thr(one)), 0.17747074327143667, 0.07880282364290145)), as_pos(gate_expr(one, as_pos(lgo(div(one, one), as_pos(lgo_and2(-0.7711291431325197, one, 0.3194558933513539, 0.9761331615389136)), as_thr(zero))), as_thr(lgo_and2(sqrt(zero), 0.106711111977345, 3.605779302835711, as_thr(-0.4325203787331468))))), 0.07880282364290145)",56.8,0.012029098999426948,0.011217235835662642,0.5685554725110432,0.6124108837118223
UCI_HydraulicSys_fault_score,lgo,lgo_hard,2,"lgo_thre(id(PS1_std), as_pos(sub(-0.04092810799903022, 0.7360205192767934)), as_thr(add(one, div(id(idF(idF(idF(CP_mean)))), pow(log(log(sub(-0.04092810799903022, sub(-0.04092810799903022, one)))), lgo_thre(pow(id(idF(idF(EPS1_mean))), sqrt(sqrt(0.9894512134684442))), as_pos(0.7360205192767934), as_thr(sub(id(CP_mean), log(sub(-0.04092810799903022, 1.168407950662181))))))))))",27.0,0.020371274492080895,0.019457864017636342,0.2974789601698757,0.3276724827809875
UCI_HydraulicSys_fault_score,pysr,base,2,sqrt((-0.77785397 + 1.0674769/(sqrt(PS3_mean)*PS3_std))/VS1_max),11.0,0.01138518701185041,,0.5940751828884036,
UCI_HydraulicSys_fault_score,operon,base,2,(0.118259 + (0.002160 * (((1.772454 + (0.318310 + ((-0.738564) * PS3_std))) / (2.302585 / (2.302585 * SE_mean))) * ((((0.323311 + ((-0.738564) * PS3_std)) + ((0.323311 / (0.646457 * SE_mean)) * 1.801021)) / ((0.323311 / (0.646457 * SE_mean)) * 2.144673)) + ((6.283185 * PS3_mean) + (2.458098 * FS1_std)))))),33.75,0.004727366312113418,,0.8177554400141659,
UCI_HydraulicSys_fault_score,lgo,base,3,"add(0.3799909133682197, mul(div(pow(id(PS2_iqr), pow(pow(id(idF(PS2_iqr)), sub(add(id(PS2_iqr), sub(-0.11828517400678118, 0.008902570809377876)), log(add(zero, zero)))), sub(add(id(PS2_iqr), sub(id(PS2_iqr), 0.008902570809377876)), log(add(id(PS1_std), 0.008902570809377876))))), log(sub(div(add(mul(-0.11828517400678118, sub(one, -0.08772317809147519)), sub(sub(one, log(one)), sub(id(PS3_std), 1.5256445328723132))), id(PS2_iqr)), mul(mul(id(idF(idF(PS3_std))), id(idF(idF(PS3_std)))), pow(id(PS2_iqr), sub(add(id(PS2_iqr), add(-1.3564781448768226, -0.9439255973865363)), log(add(zero, 0.008902570809377876)))))))), 0.008902570809377876))",39.0,0.014949942314546537,0.01677181392439015,0.4590056855748733,0.43042137480306386
