dataset,task,method,experiment,seed,split,metric,value
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,RMSE,0.08619820274822464
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,MAE,0.06477427237014201
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,R2,0.7435472816781437
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,RMSE,0.14643156239444136
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,MAE,0.12103964019196216
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,R2,0.2599172567886221
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,RMSE,0.10025585657976802
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,MAE,0.0791713061983327
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,R2,0.6530791601386433
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,RMSE,0.08236142563655634
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,MAE,0.062619621777958
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,R2,0.765869174627365
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,RMSE,0.05888329760053781
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,MAE,0.04594636070054399
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,R2,0.880327288214632
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,RMSE,0.07240374089283336
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,MAE,0.05649905126269732
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,R2,0.8188627651984974
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,RMSE,0.10567543641826656
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,MAE,0.08536429961323991
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,R2,0.6141363903598615
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,RMSE,0.1519008954681597
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,MAE,0.12722799489106013
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,R2,0.2027282227275683
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,RMSE,0.09688256996924892
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,MAE,0.07523336103013431
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,R2,0.6756775411984718
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,RMSE,0.061125290116610526
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,MAE,0.04905322665762857
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,R2,0.8708995995458452
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,RMSE,0.12846247899014443
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,MAE,0.10407055051711217
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,R2,0.43956371632242874
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,RMSE,0.11810551325423392
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,MAE,0.09180007876548489
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,R2,0.5262884322198814
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,RMSE,0.12808599371980392
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,MAE,0.0999110667486846
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,R2,0.4428438464303889
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,RMSE,0.10856923156242011
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,MAE,0.08564377988005803
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,R2,0.5996985387344438
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,RMSE,0.4508439978242471
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,MAE,0.4169104308390023
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,R2,-5.902814964554909
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,RMSE,0.11606707403444662
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,MAE,0.0944173041178698
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,R2,0.5431812172446427
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,RMSE,0.11449025241403242
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,MAE,0.09641061692470132
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,R2,0.5555090681426537
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,RMSE,0.13746292499722937
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,MAE,0.1140233874096078
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,R2,0.35923756790102057
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,RMSE,0.09030616435362777
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,MAE,0.06911364641943096
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,R2,0.7234582717566418
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,RMSE,0.08443220528637616
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,MAE,0.06381618046266446
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,R2,0.7582635471709224
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,RMSE,0.12024480093144156
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,MAE,0.10025718395344148
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,R2,0.4576814812495178
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,RMSE,0.12271995062395412
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,MAE,0.09606346022950493
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,R2,0.435125248825597
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,RMSE,0.12909539513921947
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,MAE,0.10194816788984774
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,R2,0.3749088911737306
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,RMSE,0.07463850116032993
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,MAE,0.056679325888472305
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,R2,0.7910474677953379
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,RMSE,0.07365077745433449
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,MAE,0.05693428657143093
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,R2,0.7965411944764854
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,RMSE,0.11731410885283144
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,MAE,0.09556728133942449
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,R2,0.5462619326376777
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,RMSE,0.1680673947151828
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,MAE,0.13738664520168556
