dataset,method,experiment,seed,expr_id,complexity,loss,expression
UCI_HydraulicSys_fault_score,lgo,base,89,99,40,0.010033958771142,"add(0.39689030234744993, mul(add(sqrt(0.03976372268895419), sub(zero, -0.02206489632913992)), add(div(id(PS1_iqr), sub(div(pow(sqrt(add(id(TS1_std), id(PS3_max))), sqrt(add(sub(zero, -0.6911690319225747), sqrt(one)))), log(-0.02206489632913992)), log(0.16441933677833517))), div(id(PS3_std), log(mul(-0.2252023983296903, -0.8205852393651871))))))"
UCI_HydraulicSys_fault_score,lgo,base,1,0,49,0.0070688051052969,"sub(sqrt(log(mul(one, sub(1.0728263349594334, zero)))), mul(sub(0.3109501376993082, one), mul(0.2223881126269126, sqrt(add(add(sqrt(pow(sub(id(PS4_max), id(PS3_std)), one)), sub(log(one), sub(log(id(CP_mean)), id(PS1_std)))), add(sqrt(sub(id(PS1_std), id(PS3_std))), sub(sub(id(PS1_std), id(PS3_std)), id(PS3_max))))))))"
UCI_HydraulicSys_fault_score,lgo,base,2,29,97,0.0065080952024097,"add(pow(div(id(idF(idF(idF(SE_mean)))), log(mul(zero, id(idF(idF(idF(VS1_std))))))), log(add(2.0494383439724833, mul(0.2384716859229383, pow(sub(-1.0569924840551488, 0.2384716859229383), id(idF(idF(idF(PS1_iqr))))))))), add(mul(add(mul(pow(div(sub(log(id(PS3_skew)), 0.2384716859229383), log(mul(zero, 0.6482475282517767))), add(sqrt(id(idF(PS3_skew))), sqrt(id(idF(PS3_skew))))), pow(sub(-0.2777374422650209, -0.40822086205828206), add(sqrt(id(idF(PS3_std))), 0.2384716859229383))), sqrt(sub(-0.2777374422650209, -0.40822086205828206))), pow(div(id(idF(PS3_std)), log(mul(zero, mul(mul(zero, 0.6482475282517767), log(id(SE_mean)))))), add(mul(mul(0.2384716859229383, log(sqrt(sub(-0.2777374422650209, -0.40822086205828206)))), log(id(PS3_std))), 0.39689030234744993))), 0.39689030234744993))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,5,165,21,0.0199140897149614,"lgo_thre(id(PS1_std), as_pos(log(lgo_thre(id(PS4_std), as_pos(log(lgo_thre(id(PS4_std), as_pos(mul(-0.8002189006727121, 0.979401483313772)), 0.3904030589889321))), 0.3904030589889321))), as_thr(1.0937909402365775))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,3,140,48,0.0105002675314444,"lgo_thre(pow(add(id(PS2_iqr), sub(mul(sqrt(add(pow(id(idF(VS1_max)), sqrt(id(PS6_std))), div(id(PS3_std), log(sub(-0.10831255947072536, zero))))), id(idF(idF(PS3_peak)))), add(one, 1.5209322142001052))), id(idF(idF(PS3_std)))), as_pos(-0.4462244853420648), as_thr(mul(lgo_thre(id(idF(idF(PS3_std))), as_pos(-0.4462244853420648), -0.8250111977359875), log(0.7527129098692285))))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,21,138,53,0.009368018286367,"lgo_thre(pow(add(id(PS2_iqr), sub(mul(sqrt(id(idF(idF(PS3_max)))), pow(lgo_thre(sqrt(div(-1.2968171945050133, one)), as_pos(mul(sub(0.09059826895000202, -1.2968171945050133), 0.09059826895000202)), as_thr(sub(0.09059826895000202, -1.2968171945050133))), id(PS1_iqr))), add(sqrt(one), sqrt(sub(mul(sub(0.09059826895000202, -1.2968171945050133), 0.09059826895000202), -1.2968171945050133))))), id(PS3_std)), 0.6111254882262172, as_thr(mul(sub(-0.6723191927757113, zero), lgo_thre(zero, 0.25816918921905574, -1.216688707667802))))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,1,100,56,0.0087732048645363,"lgo_thre(add(add(add(lgo_thre(add(div(log(log(id(FS2_mean))), sqrt(sqrt(id(PS3_skew)))), log(log(one))), 1.9617477036382804, as_thr(-0.6690750226274182)), sub(log(id(idF(SE_std))), mul(sqrt(pow(lgo_thre(id(FS2_mean), 2.044367237893371, as_thr(-0.6885794158460392)), sub(zero, one))), pow(pow(log(zero), lgo_thre(zero, 1.9617477036382804, 1.3428264959015135)), mul(log(id(VS1_mean)), -2.025786277917184))))), -2.025786277917184), id(VS1_mean)), 0.260191833719881, 0.7020443269342616)"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,89,293,43,0.0196647750345295,"gate_expr(sqrt(lgo_or2(lgo_and3(one, one, id(idF(PS1_std)), 0.09260852794024656, as_thr(log(div(lgo_and2(zero, add(-1.811382950039537, zero), 0.09260852794024656, 0.6703018275389216), one)))), lgo(sqrt(one), as_pos(one), as_thr(1.0079576253703941)), 0.25602445567872645, -0.7496782793767947)), as_pos(gate_expr(div(-0.11574558683786261, one), 5.984052386608104, as_thr(gate_expr(zero, 0.36445910930751146, 0.6703018275389216)))), as_thr(-0.11574558683786261))"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,2,226,70,0.0120290989994269,"gate_expr(sqrt(lgo_or2(lgo_and3(pow(mul(lgo_or2(add(one, -0.5933719211717976), id(idF(EPS1_q75)), as_pos(zero), as_thr(zero)), id(PS1_mean)), pow(mul(gate_expr(id(EPS1_q75), 0.30264049277756, -0.7357459092950293), log(-1.1186600339263808)), add(id(EPS1_q75), one))), one, id(idF(PS1_std)), 0.13766447476909768, -1.237403840522384), lgo(pow(0.7891732587926933, gate_expr(lgo(pow(id(EPS1_q75), -0.5933719211717976), 0.30264049277756, 0.07880282364290145), 2.6582548884337753, -1.237403840522384)), 1.4208788041736142, as_thr(one)), 0.14789228605953056, 0.07880282364290145)), as_pos(gate_expr(one, as_pos(one), as_thr(lgo_and2(sqrt(zero), 0.106711111977345, 3.004816085696426, as_thr(-0.4325203787331468))))), 0.07880282364290145)"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,21,230,74,0.0096357970264836,"mul(sqrt(pow(0.7774633943083599, log(lgo_and2(id(PS3_max), div(id(SE_mean), sub(sqrt(lgo_and2(lgo_and3(one, 0.7774633943083599, 2.001159103692336, 0.8154149780646274, 0.2847943797823239), div(-0.49013184987208314, -1.2775403495905517), 0.8154149780646274, 0.40438464967797133)), sqrt(lgo_and2(id(PS3_max), sub(zero, one), as_pos(one), as_thr(zero))))), as_pos(gate_expr(lgo_or2(add(-1.3025139100105656, -2.4671583948056717), id(idF(CE_mean)), as_pos(one), as_thr(one)), as_pos(lgo(pow(-0.6641072179809351, 0.7774633943083599), as_pos(1.3213052486384562), 0.3029720415170911)), as_thr(log(zero)))), as_thr(sub(sqrt(lgo_and2(add(-1.3025139100105656, -2.4671583948056717), -0.5819431918952257, as_pos(one), as_thr(zero))), -0.5819431918952257)))))), 0.3481365252952405)"
