phase,duration_s,method,seed,split
fit,13.200165033340454,lgo,1,0
fit,27.469306468963623,lgo,1,0
fit,17.691539764404297,lgo,1,0
fit,11.57630181312561,pysr,1,0
fit,0.5019381046295166,operon,1,0
fit,17.735305309295654,lgo,2,0
fit,22.465896606445312,lgo,2,0
fit,14.701570987701416,lgo,2,0
fit,5.302182197570801,pysr,2,0
fit,0.4058084487915039,operon,2,0
fit,17.13984179496765,lgo,3,0
fit,38.04789328575134,lgo,3,0
fit,20.48852515220642,lgo,3,0
fit,5.396782398223877,pysr,3,0
fit,0.4066190719604492,operon,3,0
fit,14.430312156677246,lgo,5,0
fit,23.426451444625854,lgo,5,0
fit,10.834851503372192,lgo,5,0
fit,5.906844854354858,pysr,5,0
fit,0.4415724277496338,operon,5,0
fit,18.20073390007019,lgo,8,0
fit,21.410675525665283,lgo,8,0
fit,22.945162534713745,lgo,8,0
fit,5.526984691619873,pysr,8,0
fit,0.46700549125671387,operon,8,0
fit,15.746295928955078,lgo,13,0
fit,38.763386487960815,lgo,13,0
fit,16.1413094997406,lgo,13,0
fit,5.2388317584991455,pysr,13,0
fit,0.48545289039611816,operon,13,0
fit,14.956738710403442,lgo,21,0
fit,21.790364265441895,lgo,21,0
fit,14.350788116455078,lgo,21,0
fit,5.8609795570373535,pysr,21,0
fit,0.4977114200592041,operon,21,0
fit,17.495903968811035,lgo,34,0
fit,19.181434869766235,lgo,34,0
fit,22.952917337417603,lgo,34,0
fit,5.407589912414551,pysr,34,0
fit,0.4975454807281494,operon,34,0
fit,14.065067768096924,lgo,55,0
fit,26.171111345291138,lgo,55,0
fit,11.335866928100586,lgo,55,0
fit,5.5514185428619385,pysr,55,0
fit,0.40892887115478516,operon,55,0
fit,9.472506284713745,lgo,89,0
fit,19.275583267211914,lgo,89,0
fit,18.578702449798584,lgo,89,0
fit,5.353500843048096,pysr,89,0
fit,0.4908442497253418,operon,89,0
fit,179.72890830039978,pstree,1,0
fit,167.85555958747864,pstree,2,0
fit,164.88987755775452,pstree,3,0
fit,172.5337953567505,pstree,5,0
fit,158.144606590271,pstree,8,0
fit,165.64916348457336,pstree,13,0
fit,156.49900221824646,pstree,21,0
fit,157.91781282424927,pstree,34,0
fit,167.9800102710724,pstree,55,0
fit,168.54153323173523,pstree,89,0
fit,27.055935382843018,rils_rols,1,0
fit,26.17498254776001,rils_rols,2,0
fit,20.235660552978516,rils_rols,3,0
fit,26.481807231903076,rils_rols,5,0
fit,27.49748182296753,rils_rols,8,0
fit,25.90695333480835,rils_rols,13,0
fit,25.218477249145508,rils_rols,21,0
fit,20.9125874042511,rils_rols,34,0
fit,26.87516689300537,rils_rols,55,0
fit,19.829272031784058,rils_rols,89,0
